name,club_from,club_to
Kylian Mbappé,Monaco,Paris SG
Cristiano Ronaldo,Real Madrid,Juventus
Kepa Arrizabalaga,Athletic,Chelsea
Thomas Lemar,Monaco,Atlético Madrid
Riyad Mahrez,Leicester,Man City
Naby Keïta,RB Leipzig,Liverpool
Thibaut Courtois,Chelsea,Real Madrid
Christian Pulisic,Bor. Dortmund,Chelsea
Alisson,AS Roma,Liverpool
Fred,Shakhtar D.,Man Utd
Jorginho,SSC Napoli,Chelsea
Douglas Costa,Bayern Munich,Juventus
Gonzalo Higuaín,Juventus,AC Milan
Álvaro Morata,Chelsea,Atlético Madrid
Gonzalo Higuaín,Juventus,Chelsea
Christian Pulisic,Chelsea,Bor. Dortmund
Vinicius Junior,Flamengo,Real Madrid
Fabinho,Monaco,Liverpool
Malcom,G. Bordeaux,Barcelona
Radja Nainggolan,AS Roma,Inter
Patrik Schick,Sampdoria,AS Roma
Paulinho,Barcelona,GZ Evergrande
João Cancelo,Valencia,Juventus
Gonçalo Guedes,Paris SG,Valencia
Leandro Paredes,Zenit S-Pb,Paris SG
Paulinho,Barcelona,GZ Evergrande
Tiemoué Bakayoko,Chelsea,AC Milan
Michy Batshuayi,Chelsea,Valencia
Leon Goretzka,FC Schalke 04,Bayern Munich
Stefan de Vrij,Lazio,Inter
Richarlison,Watford,Everton
Lucas Paquetá,Flamengo,AC Milan
Felipe Anderson,Lazio,West Ham
Thilo Kehrer,FC Schalke 04,Paris SG
Clément Lenglet,Sevilla FC,Barcelona
Leonardo Bonucci,AC Milan,Juventus
Krzysztof Piatek,Genoa,AC Milan
Shoya Nakajima,Portimonense,Al-Duhail SC
Gelson Martins,Sporting CP,Atlético Madrid
Arturo Vidal,Bayern Munich,Barcelona
Álvaro Odriozola,Real Sociedad,Real Madrid
Arthur Melo,Grêmio,Barcelona
Yerry Mina,Barcelona,Everton
Fabián Ruiz,Real Betis,SSC Napoli
Jean Michaël Seri,OGC Nice,Fulham
Aleksandr Golovin,CSKA Moscow,Monaco
Lucas Torreira,Sampdoria,Arsenal
Steven Nzonzi,Sevilla FC,AS Roma
Geoffrey Kondogbia,Inter,Valencia
Marek Hamsik,SSC Napoli,DL Yifang
Keita Baldé,Monaco,Inter
Giovani Lo Celso,Paris SG,Real Betis
Michy Batshuayi,Chelsea,Crystal Palace
Emre Can,Liverpool,Juventus
Mateo Kovacic,Real Madrid,Chelsea
Anthony Modeste,1. FC Köln,TJ Tianhai
Abdou Diallo,1.FSV Mainz 05,Bor. Dortmund
Kevin Strootman,AS Roma,Marseille
Mattia Caldara,Juventus,AC Milan
Lautaro Martínez,Racing Club,Inter
Issa Diop,Toulouse,West Ham
Bernd Leno,B. Leverkusen,Arsenal
James Maddison,Norwich,Leicester
Jannik Vestergaard,Bor. M'gladbach,Southampton
Simone Verdi,Bologna,SSC Napoli
Rodri,Villarreal,Atlético Madrid
Talisca,Benfica,GZ Evergrande
Paulinho,Vasco da Gama,B. Leverkusen
William Carvalho,Sporting CP,Real Betis
Bryan Cristante,Benfica,Atalanta BC
Cesc Fàbregas,Chelsea,Monaco
Tanguy Ndombélé,Amiens SC,Olympique Lyon
Sime Vrsaljko,Atlético Madrid,Inter
Bryan Cristante,Atalanta BC,AS Roma
Frank Anguissa,Marseille,Fulham
Javier Pastore,Paris SG,AS Roma
Aleksandar Mitrović,Newcastle,Fulham
Yuri Berchiche,Paris SG,Athletic
Miguel Almirón,Atlanta,Newcastle
Quincy Promes,Spartak Moscow,Sevilla FC
Alassane Plea,OGC Nice,Bor. M'gladbach
Andriy Yarmolenko,Bor. Dortmund,West Ham
Nikola Kalinic,Fiorentina,AC Milan
Ricardo Pereira,FC Porto,Leicester
Diogo Dalot,FC Porto,Man Utd
Moussa Dembélé,Celtic,Olympique Lyon
Mariano Díaz,Olympique Lyon,Real Madrid
Talisca,Benfica,GZ Evergrande
Matteo Politano,Sassuolo,Inter
André Silva,AC Milan,Sevilla FC
Simone Zaza,Valencia,Torino
Samu Castillejo,Villarreal,AC Milan
Dominic Solanke,Liverpool,Bournemouth
Caglar Söyüncü,SC Freiburg,Leicester
Jonny Otto,Atlético Madrid,Wolves
Lucas Digne,Barcelona,Everton
Thomas Delaney,Werder Bremen,Bor. Dortmund
Terence Kongolo,Monaco,Huddersfield
Gerard Moreno,Espanyol,Villarreal
Willem Geubbels,Olympique Lyon,Monaco
Rolando Mandragora,Juventus,Udinese Calcio
Axel Witsel,TJ Tianhai,Bor. Dortmund
Adama Traoré,Middlesbrough,Wolves
Benjamin Henrichs,B. Leverkusen,Monaco
Amadou Haidara,RB Salzburg,RB Leipzig
Duván Zapata,SSC Napoli,Sampdoria
Sokratis Papastathopoulos,Bor. Dortmund,Arsenal
Kévin Gameiro,Atlético Madrid,Valencia
Pity Martínez,River Plate,Atlanta
Duván Zapata,Sampdoria,Atalanta BC
Jack Wilshere,Arsenal,West Ham
Mario Balotelli,OGC Nice,Marseille
Gelson Martins,Atlético Madrid,Monaco
Duje Caleta-Car,RB Salzburg,Marseille
Alireza Jahanbakhsh,AZ Alkmaar,Brighton
Diego Laxalt,Genoa,AC Milan
Karl Toko Ekambi,Angers SCO,Villarreal
Rui Patrício,Sporting CP,Wolves
Mohamed Elyounoussi,FC Basel,Southampton
Daley Blind,Man Utd,Ajax
Xherdan Shaqiri,Stoke City,Liverpool
Santiago Arias,PSV Eindhoven,Atlético Madrid
Alban Lafont,Toulouse,Fiorentina
Salif Sané,Hannover 96,FC Schalke 04
Mousa Dembélé,Tottenham,GZ R&F
Grzegorz Krychowiak,Paris SG,Loko Moscow
Islam Slimani,Leicester,Fenerbahce
Mark Uth,TSG Hoffenheim,FC Schalke 04
Max Meyer,FC Schalke 04,Crystal Palace
Yannick Bolasie,Everton,Aston Villa
Victor Moses,Chelsea,Fenerbahce
Youri Tielemans,Monaco,Leicester
Joaquín Correa,Sevilla FC,Lazio
Justin Kluivert,Ajax,AS Roma
Brahim Díaz,Man City,Real Madrid
Leander Dendoncker,RSC Anderlecht,Wolves
Ben Gibson,Middlesbrough,Burnley
Alfie Mawson,Swansea,Fulham
Yves Bissouma,LOSC Lille,Brighton
Ahmed Musa,Leicester,Al-Nassr FC
Nordi Mukiele,Montpellier,RB Leipzig
Sebastian Rudy,Bayern Munich,FC Schalke 04
Mattia Perin,Genoa,Juventus
Jordan Amavi,Aston Villa,Marseille
Emiliano Sala,FC Nantes,Cardiff
Bernard,Shakhtar D.,Everton
Leonardo Balerdi,Boca Juniors,Bor. Dortmund
Grégoire Defrel,Sassuolo,AS Roma
João Carvalho,Benfica,Nottm Forest
Matheus Cunha,FC Sion,RB Leipzig
Mouctar Diakhaby,Olympique Lyon,Valencia
Diego Rico,CD Leganés,Bournemouth
Wilmar Barrios,Boca Juniors,Zenit S-Pb
Tetê,Grêmio,Shakhtar D.
Dusan Tadić,Southampton,Ajax
Joris Gnagnon,Rennes,Sevilla FC
Davy Klaassen,Everton,Werder Bremen
Jeison Murillo,Inter,Valencia
Nacer Chadli,West Brom,Monaco
Medhi Benatia,Juventus,Al-Duhail SC
Kurt Zouma,Chelsea,Everton
Marouane Fellaini,Man Utd,SD Luneng
Daniel Wass,Celta de Vigo,Valencia
Jonny Evans,West Brom,Leicester
Raúl Jiménez,Benfica,Wolves
André Gomes,Barcelona,Everton
Paco Alcácer,Barcelona,Bor. Dortmund
