name,club_from,club_to
André Ayew,Swansea,Fenerbahce
Jeison Murillo,Valencia,Barcelona
Marko Pjaca,Juventus,Fiorentina
Badou Ndiaye,Stoke City,Galatasaray
Cédric Soares,Southampton,Inter
André Schürrle,Bor. Dortmund,Fulham
Jakub Jankto,Udinese Calcio,Sampdoria
Guido Carrillo,Southampton,CD Leganés
Milan Badelj,Fiorentina,Lazio
Theo Hernández,Real Madrid,Real Sociedad
Nathaniel Clyne,Liverpool,Bournemouth
Ricardo Goulart,GZ Evergrande,Palmeiras
Wesley Hoedt,Southampton,Celta de Vigo
Adrien Silva,Leicester,Monaco
Yannick Bolasie,Everton,RSC Anderlecht
Roger Martínez,JS Suning,Villarreal
Rodolfo Pizarro,Chivas,Monterrey
Filip Benkovic,Dinamo Zagreb,Leicester
Nikola Kalinic,AC Milan,Atlético Madrid
Ibrahim Amadou,LOSC Lille,Sevilla FC
Diogo Jota,Atlético Madrid,Wolves
Danny Ward,Liverpool,Leicester
Jean-Eudes Aholou,R. Strasbourg,Monaco
Alphonso Davies,Vancouver,Bayern Munich
Rachid Ghezzal,Monaco,Leicester
Diego Lainez,América,Real Betis
Maximiliano Meza,Independiente,Monterrey
Gerard Deulofeu,Barcelona,Watford
Fedor Smolov,Krasnodar,Loko Moscow
Kwadwo Asamoah,Juventus,Inter
Calum Chambers,Arsenal,Fulham
Chris Mepham,Brentford,Bournemouth
Benik Afobe,Wolves,Stoke City
Mbaye Diagne,Kasimpasa,Galatasaray
Germán Pezzella,Real Betis,Fiorentina
Salomón Rondón,West Brom,Newcastle
Adem Ljajić,Torino,Besiktas
Matej Vydra,Derby,Burnley
Mitchell Weiser,Hertha BSC,B. Leverkusen
Emerson Royal,Atlético-MG,Barcelona
Nemanja Radonjić,Red Star,Marseille
Francesco Acerbi,Sassuolo,Lazio
M'Baye Niang,AC Milan,Torino
Willy Boly,FC Porto,Wolves
Vitinho,CSKA Moscow,Flamengo
Mikel Merino,Newcastle,Real Sociedad
Sardar Azmoun,Rubin Kazan,Zenit S-Pb
Kévin Malcuit,LOSC Lille,SSC Napoli
Marlon,Barcelona,Sassuolo
Souza,Fenerbahce,Al-Ahli SFC
Marcelo Saracchi,River Plate,RB Leipzig
Cheikhou Kouyaté,West Ham,Crystal Palace
Giuliano,Fenerbahce,Al-Nassr FC
Jonny Otto,Celta de Vigo,Atlético Madrid
Juan Bernat,Bayern Munich,Paris SG
Aarón Martín,Espanyol,1.FSV Mainz 05
Denis Suárez,Barcelona,Arsenal
Loris Karius,Liverpool,Besiktas
Munir El Haddadi,Barcelona,Sevilla FC
Alex Meret,Udinese Calcio,SSC Napoli
Sofiane Boufal,Southampton,Celta de Vigo
Jonny Otto,Atlético Madrid,Wolves
Sergio Rico,Sevilla FC,Fulham
Jorge,Monaco,FC Porto
Manolo Gabbiadini,Southampton,Sampdoria
Soualiho Meïté,Monaco,Torino
Benik Afobe,Bournemouth,Wolves
Josh Murphy,Norwich,Cardiff
Jonathan Rodríguez,Santos Laguna,CD Cruz Azul
Bobby De Cordova-Reid,Bristol City,Cardiff
David Brooks,Sheff Utd,Bournemouth
Angus Gunn,Man City,Southampton
Nicolás González,Argentinos Jrs.,VfB Stuttgart
Tom Ince,Huddersfield,Stoke City
Gianluca Lapadula,AC Milan,Genoa
Suat Serdar,1.FSV Mainz 05,FC Schalke 04
Fodé Ballo-Touré,LOSC Lille,Monaco
Ozan Kabak,Galatasaray,VfB Stuttgart
Emmanuel Boateng,Levante,DL Yifang
Sergi Darder,Olympique Lyon,Espanyol
Filip Benkovic,Leicester,Celtic
Armando Izzo,Genoa,Torino
Yoshinori Muto,1.FSV Mainz 05,Newcastle
Víctor Dávila,Necaxa,Pachuca
Orbelín Pineda,Chivas,CD Cruz Azul
Valentino Lazaro,RB Salzburg,Hertha BSC
Wout Weghorst,AZ Alkmaar,VfL Wolfsburg
Odsonne Edouard,Paris SG,Celtic
Djaniny,Santos Laguna,Al-Ahli SFC
Karim Adeyemi,U'haching U19,RB Salzburg
Danilo Barbosa,SC Braga,OGC Nice
Omar Mascarell,Real Madrid,FC Schalke 04
Daniel Ginczek,VfB Stuttgart,VfL Wolfsburg
Bernardo,RB Leipzig,Brighton
Borja Iglesias,Celta de Vigo,Espanyol
Antonio Barreca,Torino,Monaco
Nemanja Maksimović,Valencia,Getafe
Santiago Cáseres,Vélez Sarsfield,Villarreal
Adama Diakhaby,Monaco,Huddersfield
Jérémie Boga,Chelsea U23,Sassuolo
Myziane Maolida,Olympique Lyon,OGC Nice
Jason Denayer,Man City,Olympique Lyon
Vicente Iborra,Leicester,Villarreal
Aleksandar Prijovic,PAOK Salonika,Al-Ittihad Club
Yaroslav Rakitskyi,Shakhtar D.,Zenit S-Pb
Nicolae Stanciu,Sparta Prague,Al-Ahli SFC
Gabriel Pires,CD Leganés,Benfica
Pablo Maffeo,Man City,VfB Stuttgart
Ramiro Funes Mori,Everton,Villarreal
Carlos Salcedo,E. Frankfurt,Tigres UANL
Valon Berisha,RB Salzburg,Lazio
Mikel Merino,Bor. Dortmund,Newcastle
Wahbi Khazri,Sunderland,Saint-Étienne
Carlos Bacca,AC Milan,Villarreal
João Moutinho,Monaco,Wolves
Marius Wolf,E. Frankfurt,Bor. Dortmund
Ante Rebic,Fiorentina,E. Frankfurt
Joe Hart,Man City,Burnley
Nicolas N'Koulou,Olympique Lyon,Torino
Roberto Inglese,SSC Napoli,Parma
Dwight Gayle,Newcastle,West Brom
Kevin Wimmer,Stoke City,Hannover 96
Grégoire Defrel,AS Roma,Sampdoria
Henry Onyekuru,Everton,Galatasaray
Martin Hinteregger,FC Augsburg,E. Frankfurt
Steven Zuber,TSG Hoffenheim,VfB Stuttgart
Marius Wolf,Hannover 96,E. Frankfurt
Kevin Akpoguma,TSG Hoffenheim,Hannover 96
Gerson,AS Roma,Fiorentina
Léo Dubois,FC Nantes,Olympique Lyon
Lukas Hradecky,E. Frankfurt,B. Leverkusen
Andrés Iniesta,Barcelona,Vissel Kobe
Yohan Cabaye,Crystal Palace,Al-Nasr SC
Benik Afobe,Wolves,Stoke City
Wayne Rooney,Everton,D.C. United
Sandro Ramírez,Everton,Real Sociedad
M'Baye Niang,Torino,Rennes
Hee-chan Hwang,RB Salzburg,Hamburger SV
Tammy Abraham,Chelsea,Aston Villa
Oliver Burke,West Brom,Celtic
Youssef Aït Bennasser,Monaco,Saint-Étienne
Konstantinos Mitroglou,Marseille,Galatasaray
Davide Santon,Inter,AS Roma
Róger Guedes,Palmeiras,SD Luneng
Aleix Vidal,Barcelona,Sevilla FC
Omar Colley,KRC Genk,Sampdoria
Alejandro Pozuelo,KRC Genk,Toronto
Giorgian de Arrascaeta,Cruzeiro,Flamengo
Riccardo Saponara,Empoli,Fiorentina
Jordan,Stade Reims,Rennes
Lukasz Skorupski,AS Roma,Bologna
Antonino La Gumina,US Palermo,Empoli
Robin Olsen,FC Copenhagen,AS Roma
Lisandro Magallán,Boca Juniors,Ajax
Rabbi Matondo,Man City U23,FC Schalke 04
Brian Fernández,Necaxa,Portland
Garry Rodrigues,Galatasaray,Al-Ittihad Club
Rodrigo Caio,São Paulo,Flamengo
Rémy Cabella,Marseille,Saint-Étienne
Odion Ighalo,CC Yatai,SH Shenhua
Benedikt Höwedes,FC Schalke 04,Loko Moscow
Juan Fernando Quintero,FC Porto,River Plate
Andrea Petagna,Atalanta BC,SPAL
Riccardo Saponara,Fiorentina,Sampdoria
Facundo Ferreyra,Shakhtar D.,Benfica
Gustavo Scarpa,Fluminense,Palmeiras
Alexandre Pato,TJ Tianhai,São Paulo
Nikola Vukcevic,SC Braga,Levante
Guido Pizarro,Sevilla FC,Tigres UANL
Andriy Lunin,Zorya Lugansk,Real Madrid
Roger Martínez,Villarreal,América
Keno,Palmeiras,Pyramids FC
Davide Bettella,Inter,Atalanta BC
Nordin Amrabat,Watford,Al-Nassr FC
Samuel Kalu,KAA Gent,G. Bordeaux
Kasim Adams,BSC Young Boys,TSG Hoffenheim
Silvan Widmer,Udinese Calcio,FC Basel
Andriy Lunin,Real Madrid,CD Leganés
Nico Gaitán,DL Yifang,Chicago
Ben Brereton Díaz,Nottm Forest,Blackburn
Hassane Bandé,KV Mechelen,Ajax
Anthony Limbombe,Club Brugge,FC Nantes
Samuel Gigot,KAA Gent,Spartak Moscow
Jean-Philippe Mateta,Olympique Lyon,1.FSV Mainz 05
Bubacarr Sanneh,FC Midtjylland,RSC Anderlecht
Samuel Gigot,KAA Gent,Spartak Moscow
Lukasz Fabianski,Swansea,West Ham
Erling Haaland,Molde FK,RB Salzburg
Ignacio Pussetto,Huracán,Udinese Calcio
Sam Vokes,Burnley,Stoke City
Aden Flint,Bristol City,Middlesbrough
Fran Beltrán,Rayo Vallecano,Celta de Vigo
Cristiano Piccini,Sporting CP,Valencia
Alexis Mac Allister,Argentinos Jrs.,Brighton
Christian Cueva,São Paulo,Krasnodar
Alexandru Mitrita,CS U Craiova,New York City
Éder Militão,São Paulo,FC Porto
Martín Montoya,Valencia,Brighton
Khouma Babacar,Fiorentina,Sassuolo
Sam Clucas,Swansea,Stoke City
Federico Fernández,Swansea,Newcastle
Tomás Rincón,Juventus,Torino
Ole Selnaes,Saint-Étienne,SZ FC
Gonzalo Castro,Bor. Dortmund,VfB Stuttgart
Jérôme Roussillon,Montpellier,VfL Wolfsburg
Sandro Wagner,Bayern Munich,TJ Teda
Omar Mascarell,E. Frankfurt,Real Madrid
Mario Pasalic,Chelsea,Atalanta BC
Bruno Peres,AS Roma,São Paulo
Luis Muriel,Sevilla FC,Fiorentina
Kevin-Prince Boateng,Sassuolo,Barcelona
Jean-Clair Todibo,Toulouse,Barcelona
Almamy Touré,Monaco,E. Frankfurt
Gabriel,Inter,Flamengo
Marko Rog,SSC Napoli,Sevilla FC
Marcano,FC Porto,AS Roma
Adrien Thomasson,FC Nantes,R. Strasbourg
Jonathan Bamba,Saint-Étienne,LOSC Lille
Jordan Hugill,West Ham,Middlesbrough
Jordan Ayew,Swansea,Crystal Palace
Danny Ings,Liverpool,Southampton
Manuel Locatelli,AC Milan,Sassuolo
Denis Cheryshev,Villarreal,Valencia
Nikola Vlasic,Everton,CSKA Moscow
Enes Ünal,Villarreal,Real Valladolid
Kevin Trapp,Paris SG,E. Frankfurt
Joe Worrall,Nottm Forest,Rangers
Eric Maxim Choupo-Moting,Stoke City,Paris SG
Martin Braithwaite,Middlesbrough,CD Leganés
Maximilian Wöber,Ajax,Sevilla FC
Shinji Kagawa,Bor. Dortmund,Besiktas
Alan,GZ Evergrande,TJ Tianhai
Stuart Armstrong,Celtic,Southampton
Patrick Bamford,Middlesbrough,Leeds
Nicolás Castillo,UNAM Pumas,Benfica
George Saville,Millwall,Middlesbrough
Andrea Favilli,Ascoli,Juventus
Riza Durmisi,Real Betis,Lazio
Pierre Kunde,Atl. Madrid B,1.FSV Mainz 05
Iván Marcone,CD Cruz Azul,Boca Juniors
Marcel Tisserand,FC Ingolstadt,VfL Wolfsburg
Lukasz Teodorczyk,RSC Anderlecht,Udinese Calcio
Ante Coric,Dinamo Zagreb,AS Roma
Okay Yokuslu,Trabzonspor,Celta de Vigo
Érick Gutiérrez,Pachuca,PSV Eindhoven
Vincenzo Grifo,Bor. M'gladbach,TSG Hoffenheim
Lucas Pérez,Arsenal,West Ham
Dominique Heintz,1. FC Köln,SC Freiburg
Borja Mayoral,Real Madrid,Levante
Alberto Cerri,Juventus,Cagliari Calcio
Roberto Soriano,Villarreal,Torino
Emiliano Rigoni,Zenit S-Pb,Atalanta BC
Rubén Pérez,Granada CF,CD Leganés
Stefano Sturaro,Juventus,Sporting CP
Patrick Roberts,Man City,Girona
Maxime Gonalons,AS Roma,Sevilla FC
Federico Di Francesco,Bologna,Sassuolo
Sam Johnstone,Man Utd,West Brom
Ryan Woods,Brentford,Stoke City
Peter Etebo,Feirense,Stoke City
Pelé,Rio Ave FC,Monaco
Nicolás Castillo,Benfica,América
Ronaldo Vieira,Leeds,Sampdoria
Néstor Araújo,Santos Laguna,Celta de Vigo
Diego Falcinelli,Sassuolo,Bologna
Daniel Podence,Sporting CP,Olympiacos
Romarinho,Al-Jazira,Al-Ittihad Club
Ayrton Lucas,Fluminense,Spartak Moscow
Sékou Sanogo,BSC Young Boys,Al-Ittihad Club
Wilson Manafá,Portimonense,FC Porto
Jacob Rasmussen,Empoli,Fiorentina
Yann Karamoh,SM Caen,Inter
Ramadan Sobhi,Stoke City,Huddersfield
Roque Mesa,Swansea,Sevilla FC
Lucas Castro,Chievo Verona,Cagliari Calcio
Éder,Inter,JS Suning
Fabio Borini,Sunderland,AC Milan
Carlos Salcedo,Chivas,E. Frankfurt
Adam Masina,Bologna,Watford
Frédéric Guilbert,SM Caen,Aston Villa
Max Gradel,Bournemouth,Toulouse
Naïm Sliti,LOSC Lille,Dijon
Stefano Sturaro,Juventus,Genoa
Antonio Barreca,Monaco,Newcastle
Ramadan Sobhi,Huddersfield,El Ahly
Kevin Mirallas,Everton,Fiorentina
Antonio Sanabria,Real Betis,Genoa
Reece Oxford,West Ham,FC Augsburg
Jacob Murphy,Newcastle,West Brom
Sung-yueng Ki,Swansea,Newcastle
Abel Hernández,Hull City,CSKA Moscow
Daniel Didavi,VfL Wolfsburg,VfB Stuttgart
Kevin-Prince Boateng,E. Frankfurt,Sassuolo
Edmílson Junior,Standard Liège,Al-Duhail SC
Lamine Koné,Sunderland,R. Strasbourg
Harry Arter,Bournemouth,Cardiff
Timothy Fosu-Mensah,Man Utd,Fulham
Alberto Grassi,SSC Napoli,Parma
Gervinho,HB CFFC,Parma
Kara Mbodj,RSC Anderlecht,FC Nantes
Yann Karamoh,Inter,G. Bordeaux
Claudio Marchisio,Juventus,Zenit S-Pb
Mason Holgate,Everton,West Brom
Roberto Soriano,Villarreal,Bologna
Nicola Sansone,Villarreal,Bologna
Oumar Niasse,Everton,Cardiff
Sérgio Oliveira,FC Porto,PAOK Salonika
Georges-Kevin N'Koudou,Tottenham,Monaco
Wilfried Bony,Swansea,Al-Arabi SC
Frédéric Guilbert,Aston Villa,SM Caen
Tom Carroll,Swansea,Aston Villa
Marçal,Benfica,Olympique Lyon
Lewis Grabban,Bournemouth,Nottm Forest
Nicolò Zaniolo,Inter,AS Roma
Elías Hernández,León,CD Cruz Azul
Joe Bryan,Bristol City,Fulham
Maycon,Corinthians,Shakhtar D.
Raphinha,Vit. Guimarães,Sporting CP
Federico Santander,FC Copenhagen,Bologna
Vladyslav Supryaga,SK Dnipro-1,Dynamo Kyiv
Lovre Kalinic,KAA Gent,Aston Villa
Dawid Kownacki,Sampdoria,F. Düsseldorf
Pontus Wernbloom,CSKA Moscow,PAOK Salonika
Jordy Clasie,Southampton,Feyenoord
Juraj Kucka,Trabzonspor,Parma
Raúl Ruidíaz,Monarcas Morelia,Seattle
Christian Kouamé,Cittadella,Genoa
Ante Palaversa,Hajduk Split,Man City
Raphael Dwamena,FC Zürich,Levante
Diego Valdés,Monarcas Morelia,Santos Laguna
Andreaw Gravillon,Pescara,Inter
Borna Sosa,Dinamo Zagreb,VfB Stuttgart
Leonardo Bittencourt,1. FC Köln,TSG Hoffenheim
Zakaria Labyad,FC Utrecht,Ajax
Uros Spajic,RSC Anderlecht,Krasnodar
Florin Andone,Dep. La Coruña,Brighton
Walace,Hamburger SV,Hannover 96
William Bianda,Lens,Roma U19
Federico Valietti,Inter,Genoa
Tomas Vaclik,FC Basel,Sevilla FC
Moussa Niakhaté,FC Metz,1.FSV Mainz 05
Ronaël Pierre-Gabriel,Saint-Étienne,Monaco
Ayoub El Kaabi,RS Berkane,HB CFFC
Igor Coronado,US Palermo,Sharjah FC
Diego Rolán,G. Bordeaux,Dep. La Coruña
Fabri,Besiktas,Fulham
Hamza Mendyl,LOSC Lille,FC Schalke 04
Youssef En-Nesyri,Málaga CF,CD Leganés
Bafétimbi Gomis,Galatasaray,Al-Hilal SFC
Abderrazak Hamdallah,Al-Rayyan SC,Al-Nassr FC
Pablo,Athletico-PR,São Paulo
Manor Solomon,M. Petah Tikva,Shakhtar D.
Cristian Benavente,RSC Charleroi,Pyramids FC
Emerson Royal,Barcelona,Real Betis
Léo Baptistão,Espanyol,WH Zall
André Horta,Benfica,LAFC
Rodriguinho,Corinthians,Pyramids FC
Christophe Hérelle,Troyes,OGC Nice
Firmin Mubele,Rennes,Toulouse
Chancel Mbemba,Newcastle,FC Porto
Dimitri Oberlin,RB Salzburg,FC Basel
André Carrillo,Benfica,Al-Hilal SFC
Arbër Zeneli,Heerenveen,Stade Reims
Moses Simon,KAA Gent,Levante
Fran Sol,Willem II,Dynamo Kyiv
Miha Zajc,Empoli,Fenerbahce
Christian Luyindama,Standard Liège,Galatasaray
Sebastian Giovinco,Toronto,Al-Hilal SFC
Facundo Ferreyra,Benfica,Espanyol
Gaël Kakuta,HB CFFC,Rayo Vallecano
Loïc Rémy,UD Las Palmas,LOSC Lille
Raúl de Tomás,Real Madrid,Rayo Vallecano
Filip Kostić,Hamburger SV,E. Frankfurt
Vincenzo Grifo,TSG Hoffenheim,SC Freiburg
Landry Dimata,VfL Wolfsburg,RSC Anderlecht
Alexander Sørloth,Crystal Palace,KAA Gent
Marco Sportiello,Atalanta BC,Frosinone
Jonathas,Hannover 96,Corinthians
Jordan Rhodes,Sheff Wed,Norwich
Derlis González,Dynamo Kyiv,Santos
Rafael Leão,Sporting CP,LOSC Lille
Víctor Camarasa,Real Betis,Cardiff
Luciano Vietto,Atlético Madrid,Fulham
Björn Engels,Olympiacos,Stade Reims
Jonathan Calleri,Maldonado,Alavés
Giannelli Imbula,Stoke City,Rayo Vallecano
Rúben Vezo,Valencia,Levante
Lukas Lerager,G. Bordeaux,Genoa
Pelé,Monaco,Nottm Forest
Ryad Boudebouz,Real Betis,Celta de Vigo
Erik Pieters,Stoke City,Amiens SC
Léo Santos,Corinthians,Fluminense
Milton Caraglio,Atlas,CD Cruz Azul
Filip Bradaric,HNK Rijeka,Cagliari Calcio
Jens Odgaard,Inter,Sassuolo
Bremer,Atlético-MG,Torino
Michael Lang,FC Basel,Bor. M'gladbach
Paddy McNair,Sunderland,Middlesbrough
James McClean,West Brom,Stoke City
Martyn Waghorn,Ipswich,Derby
Ishak Belfodil,Standard Liège,TSG Hoffenheim
Angeliño,Man City U23,PSV Eindhoven
Fernando,Palmeiras,Shakhtar D.
Denzel Dumfries,Heerenveen,PSV Eindhoven
Evan Ndicka,AJ Auxerre,E. Frankfurt
Sergi Gómez,Celta de Vigo,Sevilla FC
Carlos Eduardo,Pyramids FC,Palmeiras
Bruno Henrique,Santos,Flamengo
Nico Yennaris,Brentford,BJ Guoan
Yacine Adli,Paris SG,G. Bordeaux
Emre Akbaba,Alanyaspor,Galatasaray
Germán Conti,CA Colon,Benfica
Yassin Ayoub,FC Utrecht,Feyenoord
Damien Da Silva,SM Caen,Rennes
Lewis Baker,Chelsea,Leeds
Dmitriy Poloz,Zenit S-Pb,Rubin Kazan
Lewis Baker,Chelsea,Reading
Jasmin Kurtic,Atalanta BC,SPAL
Chris Richards,Dallas,FC Bayern U19
Cecilio Domínguez,América,Independiente
Marcão,Gyeongnam FC,HB CFFC
Alexis Vega,Toluca,Chivas
Min-jae Kim,Jeonbuk Hyundai,BJ Guoan
Nicolás Benedetti,Deportivo Cali,América
Majeed Waris,FC Lorient,FC Porto
Henrique Dourado,Flamengo,HN Jianye
Jesús Gallardo,UNAM Pumas,Monterrey
Yimmi Chará,Junior FC,Atlético-MG
Carlos Izquierdoz,Santos Laguna,Boca Juniors
Pietro Iemmello,Sassuolo,Benevento
Felipe Vizeu,Flamengo,Udinese Calcio
Florent Hadergjonaj,FC Ingolstadt,Huddersfield
Luca Waldschmidt,Hamburger SV,SC Freiburg
Fabrício,Portimonense,Urawa Reds
José Manuel Arnáiz,Barcelona B,CD Leganés
Federico Dimarco,FC Sion,Inter
Marco Tumminello,AS Roma,Atalanta BC
Petros,São Paulo,Al-Nassr FC
Marc Muniesa,Stoke City,Girona
Carlos Eduardo,Goiás,Pyramids FC
Johan Mojica,Rayo Vallecano,Girona
Marco Carraro,Inter,Atalanta BC
Jonathan Ikoné,Paris SG,LOSC Lille
Giangiacomo Magnani,Perugia,Juventus
Sidcley,Athletico-PR,Dynamo Kyiv
Giangiacomo Magnani,Juventus,Sassuolo
Moussa Wagué,KAS Eupen,Barcelona B
Ignasi Miquel,Málaga CF,Getafe
