name,club_from,club_to
Emil Audero,Juventus,Sampdoria
Felipe,FC Porto,Atlético Madrid
Raúl de Tomás,Real Madrid,Benfica
Dodi Lukébakio,Watford,Hertha BSC
Maximilian Philipp,Bor. Dortmund,Dinamo Moscow
Renato Sanches,Bayern Munich,LOSC Lille
Youssef En-Nesyri,CD Leganés,Sevilla FC
Bruno Guimarães,Athletico-PR,Olympique Lyon
Ademola Lookman,Everton,RB Leipzig
Diadié Samassékou,RB Salzburg,TSG Hoffenheim
Andrea Petagna,Atalanta BC,SPAL
João Pedro,Fluminense,Watford
David Luiz,Chelsea,Arsenal
Aarón Martín,Espanyol,1.FSV Mainz 05
Chris Smalling,Man Utd,AS Roma
Giovanni Simeone,Fiorentina,Cagliari Calcio
Patrick Cutrone,Wolves,Fiorentina
Marko Grujić,Liverpool,Hertha BSC
Danny Rose,Tottenham,Newcastle
Jordan Veretout,Fiorentina,AS Roma
Mario Balotelli,Marseille,Brescia
Diego Godín,Atlético Madrid,Inter
Carles Aleñá,Barcelona,Real Betis
Álvaro Odriozola,Real Madrid,Bayern Munich
Lucas Tousart,Hertha BSC,Olympique Lyon
Alessandro Florenzi,AS Roma,Valencia
Daniel Podence,Olympiacos,Wolves
Merih Demiral,Sassuolo,Juventus
Sofyan Amrabat,Hellas Verona,Fiorentina
Oliver McBurnie,Swansea,Sheff Utd
Valentino Lazaro,Inter,Newcastle
Yusuf Yazici,Trabzonspor,LOSC Lille
Salomón Rondón,West Brom,DL Pro
Guus Til,AZ Alkmaar,Spartak Moscow
Guillermo Maripán,Alavés,Monaco
Aurélien Tchouaméni,G. Bordeaux,Monaco
Matheus Cunha,RB Leipzig,Hertha BSC
Martin Braithwaite,CD Leganés,Barcelona
Andrea Petagna,SPAL,SSC Napoli
Nahitan Nández,Boca Juniors,Cagliari Calcio
Quincy Promes,Sevilla FC,Ajax
Manuel Lazzari,SPAL,Lazio
Leander Dendoncker,RSC Anderlecht,Wolves
Grzegorz Krychowiak,Paris SG,Loko Moscow
Pedro,Fluminense,Fiorentina
Stefano Sensi,Sassuolo,Inter
João Mário,Inter,Loko Moscow
Andrea Petagna,SSC Napoli,SPAL
Pedro Neto,Lazio,Wolves
Daniel James,Swansea,Man Utd
Pedri,UD Las Palmas,Barcelona
Karl Toko Ekambi,Villarreal,Olympique Lyon
Alphonse Areola,Paris SG,Real Madrid
Ismaël Bennacer,Empoli,AC Milan
Munas Dabbur,RB Salzburg,Sevilla FC
Carlos Vinícius,SSC Napoli,Benfica
Benjamin Lecomte,Montpellier,Monaco
Óliver Torres,FC Porto,Sevilla FC
Diego Demme,RB Leipzig,SSC Napoli
Nadiem Amiri,TSG Hoffenheim,B. Leverkusen
Bas Dost,Sporting CP,E. Frankfurt
Alfred Duncan,Sassuolo,Fiorentina
Alban Lafont,Fiorentina,FC Nantes
Douglas Luiz,Man City,Aston Villa
Ché Adams,Birmingham,Southampton
Stefano Sturaro,Juventus,Genoa
Philip Billing,Huddersfield,Bournemouth
Arnaut Danjuma,Club Brugge,Bournemouth
Eljif Elmas,Fenerbahce,SSC Napoli
Leandro Trossard,KRC Genk,Brighton
Angeliño,PSV Eindhoven,Man City
Martin Hinteregger,FC Augsburg,E. Frankfurt
Jean-Kévin Augustin,RB Leipzig,Monaco
Angeliño,Man City,RB Leipzig
Mattia Caldara,AC Milan,Atalanta BC
Moussa Djenepo,Standard Liège,Southampton
Neal Maupay,Brentford,Brighton
Matt Targett,Southampton,Aston Villa
Darwin Núñez,Peñarol,UD Almería
Theo Hernández,Real Madrid,AC Milan
M'Baye Niang,Torino,Rennes
Diego Carlos,FC Nantes,Sevilla FC
Alexander Isak,Bor. Dortmund,Real Sociedad
Moussa Diaby,Paris SG,B. Leverkusen
Riccardo Orsolini,Juventus,Bologna
Ozan Kabak,VfB Stuttgart,FC Schalke 04
Lucas Ocampos,Marseille,Sevilla FC
Edson Álvarez,América,Ajax
Keylor Navas,Real Madrid,Paris SG
Youssouf Fofana,R. Strasbourg,Monaco
Darío Benedetto,Boca Juniors,Marseille
Valentin Rongier,FC Nantes,Marseille
Xaver Schlager,RB Salzburg,VfL Wolfsburg
Ionut Radu,Genoa,Inter
Fabian Delph,Man City,Everton
Ionut Radu,Inter,Genoa
Merih Demiral,Alanyaspor,Sassuolo
Gedson Fernandes,Benfica,Tottenham
Patrik Schick,AS Roma,RB Leipzig
Djibril Sidibé,Monaco,Everton
Martin Ødegaard,Real Madrid,Real Sociedad
Cristian Pavón,Boca Juniors,Los Angeles
Rafinha,Barcelona,Celta de Vigo
Mario Lemina,Southampton,Galatasaray
Pedro,Fiorentina,Flamengo
Daniel Sturridge,Liverpool,Trabzonspor
Hélder Costa,Wolves,Leeds
Sergio Reguilón,Real Madrid,Sevilla FC
Ionut Radu,Inter,Genoa
Cristian Romero,Juventus,Genoa
Roberto Inglese,SSC Napoli,Parma
Davide Zappacosta,Chelsea,AS Roma
Mohamed Elyounoussi,Southampton,Celtic
Cenk Tosun,Everton,Crystal Palace
Ionut Radu,Inter,Parma
Lloyd Kelly,Bristol City,Bournemouth
Jakub Jankto,Udinese Calcio,Sampdoria
Amir Rrahmani,Hellas Verona,SSC Napoli
Manuel Locatelli,AC Milan,Sassuolo
Joan Jordán,SD Eibar,Sevilla FC
Rémy Cabella,Saint-Étienne,Krasnodar
Breel Embolo,FC Schalke 04,Bor. M'gladbach
Tonny Vilhena,Feyenoord,Krasnodar
Hamed Junior Traorè,Empoli,Sassuolo
Aaron Mooy,Huddersfield,Brighton
Jean-Kévin Augustin,RB Leipzig,Leeds
Ruslan Malinovskyi,KRC Genk,Atalanta BC
Henry Onyekuru,Everton,Monaco
Razvan Marin,Standard Liège,Ajax
Steven Nzonzi,AS Roma,Rennes
Ezri Konsa,Brentford,Aston Villa
Jeison Murillo,Valencia,Sampdoria
Gerson,AS Roma,Flamengo
Christopher Nkunku,Paris SG,RB Leipzig
Alexis Claude-Maurice,FC Lorient,OGC Nice
Robert Skov,FC Copenhagen,TSG Hoffenheim
Victor Osimhen,VfL Wolfsburg,RSC Charleroi
Pol Lirola,Sassuolo,Fiorentina
Ondrej Duda,Hertha BSC,Norwich
Iago Falque,Torino,Genoa
Denis Suárez,Barcelona,Celta de Vigo
Stefan Lainer,RB Salzburg,Bor. M'gladbach
Luuk de Jong,PSV Eindhoven,Sevilla FC
Isaac Mbenza,Montpellier,Huddersfield
Stanley Nsoki,Paris SG,OGC Nice
Takumi Minamino,RB Salzburg,Liverpool
Nicolás Domínguez,Vélez Sarsfield,Bologna
Andy Delort,Toulouse,Montpellier
Nicolás Domínguez,Bologna,Vélez Sarsfield
Erick Pulgar,Bologna,Fiorentina
Simone Zaza,Valencia,Torino
