name,club_from,club_to
Jack Grealish,Aston Villa,Man City
Romelu Lukaku,Inter,Chelsea
Jadon Sancho,Bor. Dortmund,Man Utd
Dusan Vlahovic,Fiorentina,Juventus
Lionel Messi,Barcelona,Paris SG
Raphaël Varane,Real Madrid,Man Utd
Achraf Hakimi,Inter,Paris SG
Dayot Upamecano,RB Leipzig,Bayern Munich
Antoine Griezmann,Barcelona,Atlético Madrid
Gianluigi Donnarumma,AC Milan,Paris SG
Ben White,Brighton,Arsenal
Ferran Torres,Man City,Barcelona
Eduardo Camavinga,Rennes,Real Madrid
David Alaba,Bayern Munich,Real Madrid
André Silva,E. Frankfurt,RB Leipzig
Cristiano Ronaldo,Juventus,Man Utd
Memphis Depay,Olympique Lyon,Barcelona
Bruno Guimarães,Olympique Lyon,Newcastle
Marcel Sabitzer,RB Leipzig,Bayern Munich
Luis Díaz,FC Porto,Liverpool
Ibrahima Konaté,RB Leipzig,Liverpool
Tammy Abraham,Chelsea,AS Roma
Martin Ødegaard,Real Madrid,Arsenal
Nuno Mendes,Sporting CP,Paris SG
Saúl Ñíguez,Atlético Madrid,Chelsea
Emiliano Buendía,Norwich,Aston Villa
Rodrigo de Paul,Udinese Calcio,Atlético Madrid
Tanguy Ndombélé,Tottenham,Olympique Lyon
Kurt Zouma,Chelsea,West Ham
Leon Bailey,B. Leverkusen,Aston Villa
Angeliño,Man City,RB Leipzig
Cristian Romero,Juventus,Atalanta BC
Moise Kean,Everton,Juventus
Hakan Calhanoglu,AC Milan,Inter
Cristian Romero,Atalanta BC,Tottenham
Manuel Locatelli,Sassuolo,Juventus
Robin Gosens,Atalanta BC,Inter
Anthony Martial,Man Utd,Sevilla FC
Fikayo Tomori,Chelsea,AC Milan
Patson Daka,RB Salzburg,Leicester
Donyell Malen,PSV Eindhoven,Bor. Dortmund
Matheus Cunha,Hertha BSC,Atlético Madrid
Nikola Vlasic,CSKA Moscow,West Ham
Chris Wood,Burnley,Newcastle
Lucas Digne,Everton,Aston Villa
Bryan Gil,Sevilla FC,Tottenham
Matteo Politano,Inter,SSC Napoli
Dejan Kulusevski,Juventus,Tottenham
Joaquín Correa,Lazio,Inter
Georginio Wijnaldum,Liverpool,Paris SG
Danny Ings,Southampton,Aston Villa
Joe Willock,Arsenal,Newcastle
Daniel James,Man Utd,Leeds
Aaron Ramsdale,Sheff Utd,Arsenal
Boubakary Soumaré,LOSC Lille,Leicester
James Rodríguez,Everton,Al-Rayyan SC
Bryan Gil,Tottenham,Valencia
Merih Demiral,Juventus,Atalanta BC
Adama Traoré,Wolves,Barcelona
Sandro Tonali,Brescia,AC Milan
Denis Zakaria,Bor. M'gladbach,Juventus
Marash Kumbulla,Hellas Verona,AS Roma
Emerson Royal,Barcelona,Tottenham
Yuri Alberto,Internacional,Zenit S-Pb
Weston McKennie,FC Schalke 04,Juventus
Rodrigo Bentancur,Juventus,Tottenham
Ilaix Moriba,Barcelona B,RB Leipzig
Mike Maignan,LOSC Lille,AC Milan
Emerson Royal,Real Betis,Barcelona
Roger Ibañez,Atalanta BC,AS Roma
Ozan Kabak,FC Schalke 04,Norwich
Sardar Azmoun,Zenit S-Pb,B. Leverkusen
Pablo Sarabia,Paris SG,Sporting CP
Frank Anguissa,Fulham,SSC Napoli
Héctor Bellerín,Arsenal,Real Betis
Donny van de Beek,Man Utd,Everton
Dele Alli,Tottenham,Everton
Arnaut Danjuma,Bournemouth,Villarreal
Vitaliy Mykolenko,Dynamo Kyiv,Everton
Marc Guéhi,Chelsea U23,Crystal Palace
Enock Mwepu,RB Salzburg,Brighton
Odilon Kossounou,Club Brugge,B. Leverkusen
Nicolás González,VfB Stuttgart,Fiorentina
Joachim Andersen,Olympique Lyon,Crystal Palace
Jonathan Ikoné,LOSC Lille,Fiorentina
Noa Lang,Ajax,Club Brugge
Trincão,Barcelona,Wolves
Tecatito,FC Porto,Sevilla FC
Giovani Lo Celso,Tottenham,Villarreal
Julián Álvarez,River Plate,Man City
Gerson,Flamengo,Marseille
Juan Musso,Udinese Calcio,Atalanta BC
Jhon Córdoba,Hertha BSC,Krasnodar
Takehiro Tomiyasu,Bologna,Arsenal
Marc Cucurella,Getafe,Brighton
Wout Weghorst,VfL Wolfsburg,Burnley
Hamed Junior Traorè,FC Empoli,Sassuolo
Danilo Pereira,FC Porto,Paris SG
Thiago Almada,Vélez Sarsfield,Atlanta
Musa Barrow,Atalanta BC,Bologna
David Neres,Ajax,Shakhtar D.
