name,club_from,club_to
Tiemoué Bakayoko,Chelsea,AC Milan
Lucas Torreira,Arsenal,Fiorentina
Eric García,Man City,Barcelona
Mattéo Guendouzi,Arsenal,Marseille
Miralem Pjanic,Barcelona,Besiktas
Jérémie Boga,Sassuolo,Atalanta BC
Ilaix Moriba,RB Leipzig,Valencia
Julián Álvarez,Man City,River Plate
Todd Cantwell,Norwich,Bournemouth
Josko Gvardiol,Dinamo Zagreb,RB Leipzig
Pedrinho,Benfica,Shakhtar D.
Eldor Shomurodov,Genoa,AS Roma
Matheus Pereira,West Brom,Al-Hilal SFC
Adam Armstrong,Blackburn,Southampton
Jannik Vestergaard,Southampton,Leicester
Mohamed Simakan,R. Strasbourg,RB Leipzig
Kieran Trippier,Atlético Madrid,Newcastle
Rayan Aït-Nouri,Angers SCO,Wolves
Carlos Vinícius,Benfica,PSV Eindhoven
Dennis Praet,Leicester,Torino
Cengiz Ünder,AS Roma,Marseille
Sergio Agüero,Man City,Barcelona
William Saliba,Arsenal,Marseille
Willian José,Real Sociedad,Real Betis
Yangel Herrera,Man City,Espanyol
Diego Rossi,LAFC,Fenerbahce
Philippe Coutinho,Barcelona,Aston Villa
Amad Diallo,Man Utd,Rangers
Albert Sambi Lokonga,RSC Anderlecht,Arsenal
Roman Yaremchuk,KAA Gent,Benfica
Loïc Badé,Lens,Rennes
Kamaldeen Sulemana,Nordsjaelland,Rennes
Myron Boadu,AZ Alkmaar,Monaco
Odsonne Edouard,Celtic,Crystal Palace
Harry Wilson,Liverpool,Fulham
Gonzalo Montiel,River Plate,Sevilla FC
Alphonse Areola,Paris SG,West Ham
Florian Thauvin,Marseille,Tigres UANL
Rafael Borré,River Plate,E. Frankfurt
Pierluigi Gollini,Atalanta BC,Tottenham
Matt Targett,Aston Villa,Newcastle
Pape Matar Sarr,FC Metz,Tottenham
Teun Koopmeiners,AZ Alkmaar,Atalanta BC
Ricardo Pepi,Dallas,FC Augsburg
Rafa Mir,Wolves,Sevilla FC
Denzel Dumfries,PSV Eindhoven,Inter
Andy Delort,Montpellier,OGC Nice
Khvicha Kvaratskhelia,Rubin Kazan,Dinamo Batumi
Patrick de Paula,Palmeiras,Botafogo
Alexander Sørloth,RB Leipzig,Real Sociedad
Erik Lamela,Tottenham,Sevilla FC
Kristoffer Ajer,Celtic,Brentford
Arthur Cabral,FC Basel,Fiorentina
Pepê,Grêmio,FC Porto
Benjamin Henrichs,Monaco,RB Leipzig
Gregor Kobel,VfB Stuttgart,Bor. Dortmund
Juan Foyth,Tottenham,Villarreal
Junior Firpo,Barcelona,Leeds
Calvin Stengs,AZ Alkmaar,OGC Nice
Maxwel Cornet,Olympique Lyon,Burnley
Gaëtan Laborde,Montpellier,Rennes
Romain Faivre,Stade Brestois,Olympique Lyon
Dan Burn,Brighton,Newcastle
Baptiste Santamaria,SC Freiburg,Rennes
Jack Harrison,Man City,Leeds
Luca Waldschmidt,Benfica,VfL Wolfsburg
Razvan Marin,Ajax,Cagliari Calcio
Michael Olise,Reading,Crystal Palace
Thomas Delaney,Bor. Dortmund,Sevilla FC
Carles Aleñá,Barcelona,Getafe
Grzegorz Krychowiak,Loko Moscow,Krasnodar
Matheus Henrique,Grêmio,Sassuolo
Brahim Díaz,Real Madrid,AC Milan
Marko Grujić,Liverpool,FC Porto
Sérgio Oliveira,FC Porto,AS Roma
Yusuf Yazici,LOSC Lille,CSKA Moscow
Mattia Zaccagni,Hellas Verona,Lazio
Conor Gallagher,Chelsea U23,Crystal Palace
Takefusa Kubo,Real Madrid,RCD Mallorca
Ethan Ampadu,Chelsea,Venezia
Pierre-Emerick Aubameyang,Arsenal,Barcelona
Nathan Collins,Stoke City,Burnley
Nathan Patterson,Rangers,Everton
Boulaye Dia,Stade Reims,Villarreal
Kayky,Fluminense,Man City U23
Antonin Barak,Udinese Calcio,Hellas Verona
Emerson,Chelsea,Olympique Lyon
Justin Kluivert,AS Roma,OGC Nice
Sebastiaan Bornauw,1. FC Köln,VfL Wolfsburg
Toby Alderweireld,Tottenham,Al-Duhail SC
Matías Viña,Palmeiras,AS Roma
Lovro Majer,Dinamo Zagreb,Rennes
Marcus Edwards,Vit. Guimarães,Sporting CP
Mathias Normann,Rostov,Norwich
Alessandro Florenzi,AS Roma,AC Milan
Elseid Hysaj,SSC Napoli,Lazio
Wesley Moraes,Aston Villa,Club Brugge
Dodi Lukébakio,Hertha BSC,VfL Wolfsburg
Amadou Onana,Hamburger SV,LOSC Lille
Zinho Vanheusden,Standard Liège,Inter
Marlon,Sassuolo,Shakhtar D.
Romain Perraud,Stade Brestois,Southampton
Claudinho,RB Bragantino,Zenit S-Pb
Mohamed Daramy,FC Copenhagen,Ajax
Jonas Wind,FC Copenhagen,VfL Wolfsburg
Christos Tzolis,PAOK Salonika,Norwich
Imrân Louza,FC Nantes,Watford
Galeno,SC Braga,FC Porto
Jean-Clair Todibo,Barcelona,OGC Nice
Lukas Nmecha,Man City,VfL Wolfsburg
Alan Velasco,Independiente,Dallas
Xherdan Shaqiri,Liverpool,Olympique Lyon
Steven Berghuis,Feyenoord,Ajax
Faitout Maouassa,Rennes,Club Brugge
Rachid Ghezzal,Leicester,Besiktas
Kaio Jorge,Santos,Juventus
Mohamed Ihattaren,PSV Eindhoven,Juventus
Bernard,Everton,Sharjah FC
Josip Brekalo,VfL Wolfsburg,Torino
Samuele Ricci,FC Empoli,Torino
Ainsley Maitland-Niles,Arsenal,AS Roma
Rui Silva,Granada CF,Real Betis
João Mário,Inter,Benfica
Zinho Vanheusden,Inter,Genoa
Andrea Pinamonti,Inter,FC Empoli
Unai López,Athletic,Rayo Vallecano
Mohamed Ihattaren,Juventus,Sampdoria
Rafinha,Paris SG,Real Sociedad
Cédric Bakambu,BJ Guoan,Marseille
Calum Chambers,Arsenal,Aston Villa
Rui Patrício,Wolves,AS Roma
Milot Rashica,Werder Bremen,Norwich
Leonardo Balerdi,Bor. Dortmund,Marseille
Jean Lucas,Olympique Lyon,Monaco
Vanderson,Grêmio,Monaco
Kacper Kozlowski,Pogon Szczecin,Brighton
Jean-Philippe Mateta,1.FSV Mainz 05,Crystal Palace
Abdallah Sima,Slavia Prague,Brighton
Jakub Jankto,Sampdoria,Getafe
Giovanni Simeone,Cagliari Calcio,Hellas Verona
Ozan Tufan,Fenerbahce,Watford
Samuel Gigot,Spartak Moscow,Marseille
Hee-chan Hwang,RB Leipzig,Wolves
Abdallah Sima,Brighton,Stoke City
Ademola Lookman,RB Leipzig,Leicester
Nadiem Amiri,B. Leverkusen,Genoa
Samuel Gigot,Marseille,Spartak Moscow
Jordan Larsson,Spartak Moscow,AIK
Luiz Araújo,LOSC Lille,Atlanta
Diego Valdés,Santos Laguna,América
Lautaro Valenti,Lanús,Parma
Igor Coronado,Sharjah FC,Al-Ittihad Club
Lassina Traoré,Ajax,Shakhtar D.
Frank Onyeka,FC Midtjylland,Brentford
Yoane Wissa,FC Lorient,Brentford
Jens Cajuste,FC Midtjylland,Stade Reims
Daryl Dike,Orlando,West Brom
Talisca,GuaZ FC,Al-Nassr FC
Alban Lafont,Fiorentina,FC Nantes
Mitchel Bakker,Paris SG,B. Leverkusen
Marko Arnautovic,SH Port,Bologna
Mario Lemina,Southampton,OGC Nice
Ludwig Augustinsson,Werder Bremen,Sevilla FC
Marvin Friedrich,Union Berlin,Bor. M'gladbach
Alex Kral,Spartak Moscow,West Ham
Mergim Berisha,RB Salzburg,Fenerbahce
Esequiel Barco,Atlanta,River Plate
Moussa Sissoko,Tottenham,Watford
Felipe Anderson,West Ham,Lazio
Reinildo Mandava,LOSC Lille,Atlético Madrid
Carlos Rodríguez,Monterrey,CD Cruz Azul
Maxime López,Marseille,Sassuolo
Pau López,AS Roma,Marseille
Kenedy,Chelsea,Flamengo
Borja Mayoral,AS Roma,Getafe
Michy Batshuayi,Chelsea,Besiktas
Moussa Marega,FC Porto,Al-Hilal SFC
Vincent Aboubakar,Besiktas,Al-Nassr FC
Sergio Ramos,Real Madrid,Paris SG
Billy Gilmour,Chelsea,Norwich
José Juan Macías,Chivas,Getafe
Benjamin Lecomte,Monaco,Atlético Madrid
Brandon Williams,Man Utd,Norwich
Pape Matar Sarr,Tottenham,FC Metz
Álvaro Odriozola,Real Madrid,Fiorentina
Kang-in Lee,Valencia,RCD Mallorca
Florentino,Benfica,Getafe
Valentino Lazaro,Inter,Benfica
Arnaud Kalimuendo,Paris SG,Lens
Nikola Maksimovic,SSC Napoli,Genoa
Diogo Leite,FC Porto,SC Braga
Hélder Costa,Leeds,Valencia
Luuk de Jong,Sevilla FC,Barcelona
Amine Harit,FC Schalke 04,Marseille
Kacper Kozlowski,Brighton,Union SG
Paul Bernardoni,Angers SCO,Saint-Étienne
Krzysztof Piatek,Hertha BSC,Fiorentina
Gonzalo Villar,AS Roma,Getafe
Anwar El Ghazi,Aston Villa,Everton
Óscar Rodríguez,Sevilla FC,Getafe
Freddie Woodman,Newcastle,Bournemouth
Mahmoud Trezeguet,Aston Villa,Basaksehir
Jean-Philippe Gbamin,Everton,CSKA Moscow
Hannes Wolf,RB Leipzig,Bor. M'gladbach
Josh Sargent,Werder Bremen,Norwich
Jens Petter Hauge,AC Milan,E. Frankfurt
Paulinho,GuaZ FC,Al-Ahli SFC
Ben Gibson,Burnley,Norwich
Pol Lirola,Fiorentina,Marseille
Kamal Sowah,Leicester U21,Club Brugge
Yacine Adli,G. Bordeaux,AC Milan
Ante Budimir,RCD Mallorca,CA Osasuna
Suat Serdar,FC Schalke 04,Hertha BSC
Toma Basic,G. Bordeaux,Lazio
Fábio Martins,SC Braga,Al-Wahda FC
Marco Silvestri,Hellas Verona,Udinese Calcio
Marcos Paulo,Fluminense,Atlético Madrid
Patrick Cutrone,Wolves,FC Empoli
Marcos Paulo,Atlético Madrid,Famalicão
Loren Morón,Real Betis,Espanyol
Willian,Arsenal,Corinthians
Reiss Nelson,Arsenal,Feyenoord
Yacine Adli,AC Milan,G. Bordeaux
Javairô Dilrosun,Hertha BSC,G. Bordeaux
Orbelín Pineda,CD Cruz Azul,Celta de Vigo
Viktor Claesson,Krasnodar,FC Copenhagen
Renan,Palmeiras,RB Bragantino
Taiwo Awoniyi,Liverpool,Union Berlin
Marcos André,Real Valladolid,Valencia
Tajon Buchanan,New England,Club Brugge
Aaron Boupendza,Hatayspor,Al-Arabi SC
Christian Kouamé,Fiorentina,RSC Anderlecht
Fedor Chalov,CSKA Moscow,FC Basel
Marin Pongracic,VfL Wolfsburg,Bor. Dortmund
Eddie Salcedo,Inter,Genoa
Jérôme Boateng,Bayern Munich,Olympique Lyon
Erick Pulgar,Fiorentina,Galatasaray
Andreas Cornelius,Atalanta BC,Parma
Aster Vranckx,KV Mechelen,VfL Wolfsburg
Nuno Tavares,Benfica,Arsenal
José Sá,Olympiacos,Wolves
Rodrigo Muniz,Flamengo,Fulham
Shamar Nicholson,RSC Charleroi,Spartak Moscow
Júnior Alonso,Atlético-MG,Krasnodar
Ivan Ilić,Man City U23,Hellas Verona
Niklas Dorsch,KAA Gent,FC Augsburg
Xherdan Shaqiri,Olympique Lyon,Chicago
Piero Hincapié,CA Talleres,B. Leverkusen
Davide Zappacosta,Chelsea,Atalanta BC
Jonathan Rodríguez,CD Cruz Azul,Al-Nassr FC
Gaël Kakuta,Amiens SC,Lens
Florian Müller,1.FSV Mainz 05,VfB Stuttgart
Esteban Andrada,Boca Juniors,Monterrey
Pablo,Loko Moscow,Flamengo
Jefferson Savarino,Atlético-MG,Salt Lake
Demarai Gray,B. Leverkusen,Everton
Andreas Pereira,Man Utd,Flamengo
Axel Tuanzebe,Man Utd,SSC Napoli
Adolfo Gaich,CSKA Moscow,SD Huesca
Yusuf Demir,Rapid Vienna,Barcelona
Simy,Crotone,Salernitana
Wanderson,Krasnodar,Internacional
Ryan Bertrand,Southampton,Leicester
Aïssa Mandi,Real Betis,Villarreal
Davy Pröpper,Brighton,PSV Eindhoven
Marko Dmitrović,SD Eibar,Sevilla FC
Joshua King,Everton,Watford
Joshua Zirkzee,Bayern Munich,RSC Anderlecht
Axel Tuanzebe,Man Utd,Aston Villa
Manu Sánchez,Atlético Madrid,CA Osasuna
Keita Baldé,Monaco,Cagliari Calcio
Steven Nzonzi,AS Roma,Al-Rayyan SC
Stefano Sensi,Inter,Sampdoria
Lys Mousset,Sheff Utd,Salernitana
Nathaniel Phillips,Liverpool,Bournemouth
Neco Williams,Liverpool,Fulham
Gedson Fernandes,Benfica,C. Rizespor
Pizzi,Benfica,Basaksehir
Strahinja Pavlovic,Monaco,FC Basel
Rémy Cabella,Krasnodar,Montpellier
Michael,Flamengo,Al-Hilal SFC
Dimitrios Giannoulis,PAOK Salonika,Norwich
Maximilian Philipp,Dynamo Moscow,VfL Wolfsburg
Denis Makarov,Rubin Kazan,Dynamo Moscow
Lyanco,Torino,Southampton
Amine Adli,Toulouse,B. Leverkusen
Erik Botheim,Bodø/Glimt,Krasnodar
Sebastián Driussi,Zenit S-Pb,Austin
David Zima,Slavia Prague,Torino
Maximilian Eggestein,Werder Bremen,SC Freiburg
Germán Pezzella,Fiorentina,Real Betis
Tonny Vilhena,Krasnodar,Espanyol
Valentin Rosier,Sporting CP,Besiktas
Brian Brobbey,Ajax U21,RB Leipzig
Yairo Moreno,León,Pachuca
Robin Quaison,1.FSV Mainz 05,Ettifaq FC
Matías Pellegrini,Miami,Estudiantes
Róger Guedes,SD Taishan,Corinthians
Chris Richards,Bayern Munich,TSG Hoffenheim
Brian Brobbey,RB Leipzig,Ajax
Marco Richter,FC Augsburg,Hertha BSC
Matteo Lovato,Hellas Verona,Atalanta BC
Jesper Lindström,Bröndby IF,E. Frankfurt
Victor Nelsson,FC Copenhagen,Galatasaray
Will Hughes,Watford,Crystal Palace
Anders Dreyer,FC Midtjylland,Rubin Kazan
Gyrano Kerk,FC Utrecht,Loko Moscow
Konstantin Maradishvili,CSKA Moscow,Loko Moscow
Mert Cetin,AS Roma,Hellas Verona
Jesús Angulo,Atlas,Tigres UANL
Edon Zhegrova,FC Basel,LOSC Lille
Billal Brahimi,Angers SCO,OGC Nice
Deniz Undav,Union SG,Brighton
Ismail Jakobs,1. FC Köln,Monaco
Robert Andrich,Union Berlin,B. Leverkusen
Joey Veerman,Heerenveen,PSV Eindhoven
Kevin Bonifazi,SPAL,Bologna
Matías Arezo,River Plate,Granada CF
Sebastián Córdova,América,Tigres UANL
Henry Onyekuru,Monaco,Olympiacos
Hugo Siquet,Standard Liège,SC Freiburg
Myziane Maolida,OGC Nice,Hertha BSC
Nicolae Stanciu,Slavia Prague,WH Three Towns
Pierre Lees-Melou,OGC Nice,Norwich
Matteo Darmian,Parma,Inter
Gabriele Zappa,Pescara,Cagliari Calcio
Ryan Christie,Celtic,Bournemouth
Brandon Soppy,Rennes,Udinese Calcio
Alan Patrick,Shakhtar D.,Internacional
Caleb Ekuban,Trabzonspor,Genoa
Matteo Lovato,Atalanta BC,Cagliari Calcio
Anel Ahmedhodzic,Malmö FF,G. Bordeaux
Arne Maier,Hertha BSC,FC Augsburg
Alexandru Mitrita,New York City,PAOK Salonika
Marc Oliver Kempf,VfB Stuttgart,Hertha BSC
Jean-Pierre Nsame,BSC Young Boys,Venezia
Jovane,Sporting CP,Lazio
Fedor Smolov,Loko Moscow,Dynamo Moscow
Gustavo Assunção,Famalicão,Galatasaray
Omar Richards,Reading,Bayern Munich
Juan Miranda,Barcelona,Real Betis
Andros Townsend,Crystal Palace,Everton
Patrick van Aanholt,Crystal Palace,Galatasaray
Alex Mowatt,Barnsley FC,West Brom
John Lundstram,Sheff Utd,Rangers
Rony Lopes,Sevilla FC,Olympiacos
Darío Benedetto,Marseille,Elche CF
Morgan Gibbs-White,Wolves,Sheff Utd
Jeison Murillo,Sampdoria,Celta de Vigo
Rony Lopes,Sevilla FC,Olympiacos
Anders Dreyer,Rubin Kazan,FC Midtjylland
Jeison Murillo,Sampdoria,Celta de Vigo
Alex Mowatt,Barnsley FC,West Brom
Jeff Hendrick,Newcastle,QPR
Darío Benedetto,Marseille,Elche CF
Oussama Idrissi,Sevilla FC,Cádiz CF
Luis Abram,Granada CF,CD Cruz Azul
Roberto Alvarado,CD Cruz Azul,Chivas
Yeferson Soteldo,Toronto,Tigres UANL
Facundo Torres,Peñarol,Orlando
Luis Abram,Vélez Sarsfield,Granada CF
Martín Payero,Banfield,Middlesbrough
Kevin Paredes,D.C. United,VfL Wolfsburg
Alexandru Cicaldau,CS U Craiova,Galatasaray
Kelvin Yeboah,Sturm Graz,Genoa
Kevin Lasagna,Udinese Calcio,Hellas Verona
Éderson,Corinthians,Salernitana
Stanley Nsoki,OGC Nice,Club Brugge
Sead Haksabanovic,Norrköping,Rubin Kazan
Andreas Skov Olsen,Bologna,Club Brugge
Fodé Ballo-Touré,Monaco,AC Milan
Victor Moses,Chelsea,Spartak Moscow
Wendell,B. Leverkusen,FC Porto
Mario Vuskovic,Hajduk Split,Hamburger SV
Youssouf Sabaly,G. Bordeaux,Real Betis
Hernani,Parma,Genoa
Filip Stevanovic,Man City U23,Heerenveen
Tiquinho Soares,Without Club,Olympiacos
Jorge Carrascal,River Plate,CSKA Moscow
Aké Loba,Monterrey,Nashville
Wylan Cyprien,OGC Nice,Parma
Bryan Reynolds,Dallas,AS Roma
Ally Samatta,Aston Villa,Fenerbahce
Soualiho Meïté,Torino,Benfica
Vitinho,Athletico-PR,Dynamo Kyiv
Pablo Rosario,PSV Eindhoven,OGC Nice
Gianluca Busio,Kansas City,Venezia
Vinícius Tobias,Internacional,Shakhtar D.
Alexis Beka Beka,SM Caen,Loko Moscow
Gabriel Gudmundsson,FC Groningen,LOSC Lille
Ricardo Esgaio,SC Braga,Sporting CP
Andreas Cornelius,Parma,Trabzonspor
Érick Aguirre,Pachuca,Monterrey
Karol Swiderski,PAOK Salonika,Charlotte
Javi Galán,SD Huesca,Celta de Vigo
Hassane Kamara,OGC Nice,Watford
Sebastián Vegas,Mazatlán FC,Monterrey
Sam Lammers,Atalanta BC,E. Frankfurt
Daniel Wass,Valencia,Atlético Madrid
Lucas Olaza,Boca Juniors,Real Valladolid
Fabricio Bustos,Independiente,Internacional
Nemanja Radonjić,Marseille,Benfica
Mark-Anthony Kaye,LAFC,Colorado
Gianluca Caprari,Sampdoria,Hellas Verona
Johan Vásquez,UNAM Pumas,Genoa
Valentin Mihaila,Parma,Atalanta BC
Vedat Muriqi,Lazio,RCD Mallorca
Pietro Pellegri,Monaco,AC Milan
Martín Ojeda,Racing Club,Godoy Cruz
Mamadou Sakho,Crystal Palace,Montpellier
Wylan Cyprien,Parma,FC Nantes
Alexander Nübel,Bayern Munich,Monaco
Sebastiano Esposito,Inter,FC Basel
Andreaw Gravillon,Inter,Stade Reims
Giuseppe Pezzella,Parma,Atalanta BC
Facundo Pellistri,Man Utd,Alavés
Diego Costa,Without Club,Atlético-MG
Tommaso Pobega,AC Milan,Torino
Jorge Cuenca,Villarreal,Getafe
Santiago Arias,Atlético Madrid,Granada CF
Joelson Fernandes,Sporting B,FC Basel
Frédéric Guilbert,Aston Villa,R. Strasbourg
Willem Geubbels,Monaco,FC Nantes
Chiquinho,Benfica,SC Braga
Mounir Chouiar,Dijon,Y. Malatyaspor
Yann Karamoh,Parma,Karagümrük
Shapi Suleymanov,Krasnodar,Giresunspor
Gabriel Pires,Benfica,Al-Gharafa SC
Mathew Ryan,Brighton,Real Sociedad
Ricardo Goulart,GuaZ FC,Santos
Otávio,G. Bordeaux,Atlético-MG
Cole Bassett,Colorado,Feyenoord
Juan Fernando Quintero,SZ FC,River Plate
Tino Livramento,Chelsea U23,Southampton
Angus Gunn,Southampton,Norwich
Willian Pacho,Independiente,Royal Antwerp
Antonino La Gumina,FC Empoli,Sampdoria
Ernesto Torregrossa,Brescia,Sampdoria
Kevin Danso,FC Augsburg,Lens
Luís Maximiano,Sporting CP,Granada CF
Thomas Henry,OH Leuven,Venezia
Lennart Czyborra,Atalanta BC,Genoa
Darío Sarmiento,Estudiantes,Man City U23
Helinho,São Paulo,RB Bragantino
Eduard Atuesta,LAFC,Palmeiras
Samuel Kalu,G. Bordeaux,Watford
Guilherme Arana,Sevilla FC,Atlético-MG
Darío Sarmiento,Man City U23,Girona
Tomás Tavares,Benfica,FC Basel
Mohamed Fares,Lazio,Genoa
Mohamed Fares,Lazio,Torino
Sead Haksabanovic,Rubin Kazan,Djurgården
Jairo Torres,Atlas,Chicago
Kyogo Furuhashi,Vissel Kobe,Celtic
Federico Gatti,Frosinone,Juventus
Samú Costa,SC Braga,UD Almería
Yerson Mosquera,Atl. Nacional,Wolves
Nahuel Tenaglia,CA Talleres,Alavés
Manuel Ugarte,Famalicão,Sporting CP
Igor,SPAL,Fiorentina
Kamil Piatkowski,Rakow,RB Salzburg
Chidozie Awaziem,FC Porto,Boavista
Mickaël Biron,AS Nancy,KV Oostende
Michel-Ange Balikwisha,Standard Liège,Royal Antwerp
Franco Cervi,Benfica,Celta de Vigo
Kjell Scherpen,Ajax,Brighton
Carl Starfelt,Rubin Kazan,Celtic
Metinho,Fluminense,Troyes
Marco Bizot,AZ Alkmaar,Stade Brestois
Nair Tiknizyan,CSKA Moscow,Loko Moscow
Ruan Tressoldi,Grêmio,Sassuolo
Maduka Okoye,Sparta R.,Watford
Silvan Hefti,BSC Young Boys,Genoa
Samir Caetano,Udinese Calcio,Watford
Jan Kuchta,Slavia Prague,Loko Moscow
Arsen Adamov,Ural,Zenit S-Pb
Max Kruse,Union Berlin,VfL Wolfsburg
Ignace Van der Brempt,Club Brugge,RB Salzburg
Gabriel Pereira,Corinthians,New York City
Federico Navarro,CA Talleres,Chicago
Nicolás Capaldo,Boca Juniors,RB Salzburg
Fransérgio,SC Braga,G. Bordeaux
Edin Visca,Basaksehir,Trabzonspor
Kieffer Moore,Cardiff,Bournemouth
Giangiacomo Magnani,Sassuolo,Hellas Verona
Emmanuel Dennis,Club Brugge,Watford
Manu Morlanes,UD Almería,Villarreal
Azor Matusiwa,FC Groningen,Stade Reims
Michaël Cuisance,Bayern Munich,Venezia
Thiago Maia,LOSC Lille,Flamengo
Jeremy Toljan,Bor. Dortmund,Sassuolo
Sergio Akieme,Barcelona B,UD Almería
Leonardo Fernández,Tigres UANL,Toluca
Renaud Ripart,Nîmes Olympique,Troyes
Manu Morlanes,Villarreal,UD Almería
Melvin Bard,Olympique Lyon,OGC Nice
Ramón Miérez,Alavés,NK Osijek
Jordan,Rennes,BSC Young Boys
Konstantinos Manolas,SSC Napoli,Olympiacos
Santiago Cáseres,Villarreal,Vélez Sarsfield
Aníbal Moreno,Newell's,Racing Club
Juninho Bacuna,Huddersfield,Rangers
Kristijan Lovric,HNK Gorica,NK Osijek
Santiago Arzamendia,Cerro Porteño,Cádiz CF
Luca Netz,Hertha BSC,Bor. M'gladbach
Conan Ledesma,Rosario Central,Cádiz CF
Alireza Jahanbakhsh,Brighton,Feyenoord
Michal Karbownik,Brighton,Olympiacos
Martin Hongla,Royal Antwerp,Hellas Verona
Aaron Ramsey,Juventus,Rangers
Matija Nastasić,FC Schalke 04,Fiorentina
Francesco Caputo,Sassuolo,Sampdoria
Stephen Eustaquio,Paços Ferreira,FC Porto
Tiago Tomás,Sporting CP,VfB Stuttgart
Ryan Gauld,Farense,Vancouver
Rúben Semedo,Olympiacos,FC Porto
