name,club_from,club_to
Kai Havertz,B. Leverkusen,Chelsea
Leroy Sané,Man City,Bayern Munich
Arthur Melo,Barcelona,Juventus
Victor Osimhen,LOSC Lille,SSC Napoli
Timo Werner,RB Leipzig,Chelsea
Miralem Pjanic,Juventus,Barcelona
Mauro Icardi,Inter,Paris SG
Achraf Hakimi,Real Madrid,Inter
Ben Chilwell,Leicester,Chelsea
Thomas Partey,Atlético Madrid,Arsenal
Nicolò Barella,Cagliari Calcio,Inter
Thiago,Bayern Munich,Liverpool
Federico Chiesa,Fiorentina,Juventus
Nathan Aké,Bournemouth,Man City
Ferran Torres,Valencia,Man City
Diogo Jota,Wolves,Liverpool
Donny van de Beek,Ajax,Man Utd
Hakim Ziyech,Ajax,Chelsea
Fábio Silva,FC Porto,Wolves
Giovani Lo Celso,Real Betis,Tottenham
Nélson Semedo,Barcelona,Wolves
Rodrigo,Valencia,Leeds
Alex Telles,FC Porto,Man Utd
Martin Ødegaard,Real Madrid,Arsenal
Álvaro Morata,Chelsea,Atlético Madrid
Álvaro Morata,Atlético Madrid,Juventus
Rúben Dias,Benfica,Man City
Wesley Fofana,Saint-Étienne,Leicester
Darwin Núñez,UD Almería,Benfica
Ollie Watkins,Brentford,Aston Villa
Ante Rebic,E. Frankfurt,AC Milan
Sandro Tonali,Brescia,AC Milan
Mattéo Guendouzi,Arsenal,Hertha BSC
James Rodríguez,Real Madrid,Everton
Trincão,SC Braga,Barcelona
Sergio Reguilón,Real Madrid,Tottenham
Sébastien Haller,West Ham,Ajax
Moussa Dembélé,Olympique Lyon,Atlético Madrid
Takefusa Kubo,Real Madrid,Villarreal
Lucas Torreira,Arsenal,Atlético Madrid
Allan,SSC Napoli,Everton
Everton,Grêmio,Benfica
Kevin Volland,B. Leverkusen,Monaco
Luis Suárez,Barcelona,Atlético Madrid
Gareth Bale,Real Madrid,Tottenham
Ben Godfrey,Norwich,Everton
Jonathan David,KAA Gent,LOSC Lille
Yannick Carrasco,DL Pro,Atlético Madrid
Patrik Schick,AS Roma,B. Leverkusen
Gabriel Magalhães,LOSC Lille,Arsenal
Rhian Brewster,Liverpool U23,Sheff Utd
Jérémy Doku,RSC Anderlecht,Rennes
Tiemoué Bakayoko,Chelsea,SSC Napoli
Emre Can,Juventus,Bor. Dortmund
Jude Bellingham,Birmingham,Bor. Dortmund
Stefano Sensi,Sassuolo,Inter
Dominik Szoboszlai,RB Salzburg,RB Leipzig
Mario Pasalic,Chelsea,Atalanta BC
Marash Kumbulla,Hellas Verona,AS Roma
Ozan Kabak,FC Schalke 04,Liverpool
Moise Kean,Everton,Paris SG
Ryan Sessegnon,Tottenham,TSG Hoffenheim
Felipe Anderson,West Ham,FC Porto
Edouard Mendy,Rennes,Chelsea
Jordan Veretout,Fiorentina,AS Roma
Danilo Pereira,FC Porto,Paris SG
André Silva,AC Milan,E. Frankfurt
Thomas Meunier,Paris SG,Bor. Dortmund
Ruben Loftus-Cheek,Chelsea,Fulham
Lucas Paquetá,AC Milan,Olympique Lyon
Saïd Benrahma,Brentford,West Ham
Cengiz Ünder,AS Roma,Leicester
Willian,Chelsea,Arsenal
Reinier,Real Madrid,Bor. Dortmund
Jeff Reine-Adélaïde,Olympique Lyon,OGC Nice
Callum Wilson,Bournemouth,Newcastle
Simone Verdi,SSC Napoli,Torino
Abdoulaye Doucouré,Watford,Everton
Gianluca Mancini,Atalanta BC,AS Roma
Saïd Benrahma,Brentford,West Ham
Arkadiusz Milik,SSC Napoli,Marseille
Ross Barkley,Chelsea,Aston Villa
Amad Diallo,Atalanta BC,Man Utd
Andrea Pinamonti,Genoa,Inter
Sergiño Dest,Ajax,Barcelona
Jean-Kévin Augustin,RB Leipzig,Leeds
Aaron Ramsdale,Bournemouth,Sheff Utd
Wendel,Sporting CP,Zenit S-Pb
Vedat Muriqi,Fenerbahce,Lazio
Alexander Sørloth,Crystal Palace,RB Leipzig
Diego Llorente,Real Sociedad,Leeds
Pierre-Emile Höjbjerg,Southampton,Tottenham
Morgan Sanson,Marseille,Aston Villa
Chris Smalling,Man Utd,AS Roma
Weston McKennie,FC Schalke 04,Juventus
Ivan Rakitic,Barcelona,Sevilla FC
Carlos Vinícius,Benfica,Tottenham
Willian José,Real Sociedad,Wolves
Dani Parejo,Valencia,Villarreal
Takefusa Kubo,Real Madrid,Getafe
Luka Jović,Real Madrid,E. Frankfurt
Justin Kluivert,AS Roma,RB Leipzig
Douglas Costa,Juventus,Bayern Munich
Henrikh Mkhitaryan,Arsenal,AS Roma
Gerard Deulofeu,Watford,Udinese Calcio
Rayan Aït-Nouri,Angers SCO,Wolves
Edinson Cavani,Paris SG,Man Utd
Andrea Pinamonti,Inter,Genoa
Raphinha,Rennes,Leeds
Bertrand Traoré,Olympique Lyon,Aston Villa
Timothy Castagne,Atalanta BC,Leicester
Pedrinho,Corinthians,Benfica
Krépin Diatta,Club Brugge,Monaco
Antony,São Paulo,Ajax
Aleksey Miranchuk,Loko Moscow,Atalanta BC
Marc Cucurella,Barcelona,Getafe
Florentino,Benfica,Monaco
Ainsley Maitland-Niles,Arsenal,West Brom
Eberechi Eze,QPR,Crystal Palace
Hélder Costa,Wolves,Leeds
Suso,AC Milan,Sevilla FC
Geoffrey Kondogbia,Valencia,Atlético Madrid
Christian Kouamé,Genoa,Fiorentina
Ryan Fraser,Bournemouth,Newcastle
Emiliano Martínez,Arsenal,Aston Villa
Gerard Deulofeu,Watford,Udinese Calcio
Robin Koch,SC Freiburg,Leeds
Fikayo Tomori,Chelsea,AC Milan
William Saliba,Arsenal,OGC Nice
Matt Doherty,Wolves,Tottenham
Jamal Lewis,Norwich,Newcastle
Karlan Grant,Huddersfield,West Brom
Pervis Estupiñán,Watford,Villarreal
Tomas Soucek,Slavia Prague,West Ham
Pity Martínez,Atlanta,Al-Nassr FC
Paulinho,SC Braga,Sporting CP
Luca Waldschmidt,SC Freiburg,Benfica
Marc Roca,Espanyol,Bayern Munich
