name,club_from,club_to
Malang Sarr,Chelsea,FC Porto
Keita Baldé,Monaco,Sampdoria
Harry Wilson,Liverpool,Cardiff
Joachim Andersen,Olympique Lyon,Fulham
Malang Sarr,OGC Nice,Chelsea
Alexis Sánchez,Man Utd,Inter
Andreas Pereira,Man Utd,Lazio
Joe Willock,Arsenal,Newcastle
Matty Cash,Nottm Forest,Aston Villa
Matías Zaracho,Racing Club,Atlético-MG
Marko Rog,SSC Napoli,Cagliari Calcio
Alfred Duncan,Sassuolo,Fiorentina
Serhou Guirassy,Amiens SC,Rennes
Jhon Córdoba,1. FC Köln,Hertha BSC
Nicolás Otamendi,Man City,Benfica
Rolando Mandragora,Udinese Calcio,Juventus
Óscar Rodríguez,Real Madrid,Sevilla FC
Giovanni Simeone,Fiorentina,Cagliari Calcio
Ibrahima Diallo,Stade Brestois,Southampton
Quincy Promes,Ajax,Spartak Moscow
Philipp Max,FC Augsburg,PSV Eindhoven
Papu Gómez,Atalanta BC,Sevilla FC
Jean-Philippe Mateta,1.FSV Mainz 05,Crystal Palace
Valentino Lazaro,Inter,Bor. M'gladbach
Gonzalo Higuaín,Juventus,Miami
Ante Budimir,RCD Mallorca,CA Osasuna
Carles Aleñá,Barcelona,Getafe
Wylan Cyprien,OGC Nice,Parma
Jan Vertonghen,Tottenham,Benfica
Marko Grujić,Liverpool,FC Porto
Pedro,Fiorentina,Flamengo
Karl Toko Ekambi,Villarreal,Olympique Lyon
Francis Coquelin,Valencia,Villarreal
Cristian Romero,Juventus,Atalanta BC
Jean-Clair Todibo,Barcelona,Benfica
Michy Batshuayi,Chelsea,Crystal Palace
Joakim Maehle,KRC Genk,Atalanta BC
Grady Diangana,West Ham,West Brom
Axel Disasi,Stade Reims,Monaco
Arne Maier,Hertha BSC,Arm. Bielefeld
Gedson Fernandes,Benfica,Galatasaray
Brahim Díaz,Real Madrid,AC Milan
Luca Pellegrini,Juventus,Genoa
Juan Foyth,Tottenham,Villarreal
Kyle Walker-Peters,Tottenham,Southampton
Carles Pérez,Barcelona,AS Roma
Konstantinos Tsimikas,Olympiacos,Liverpool
Lucas Martínez Quarta,River Plate,Fiorentina
Dennis Man,FCSB,Parma
Alphonse Areola,Paris SG,Fulham
João Mário,Inter,Sporting CP
Jean-Daniel Akpa Akpro,Salernitana,Lazio
Brenden Aaronson,Philadelphia,RB Salzburg
Joe Rodon,Swansea,Tottenham
Roberto Inglese,SSC Napoli,Parma
Martin Terrier,Olympique Lyon,Rennes
Hee-chan Hwang,RB Salzburg,RB Leipzig
Dejan Lovren,Liverpool,Zenit S-Pb
Mohammed Salisu,Real Valladolid,Southampton
Álex Berenguer,Torino,Athletic
Oussama Idrissi,AZ Alkmaar,Sevilla FC
Davy Klaassen,Werder Bremen,Ajax
Marcos Acuña,Sporting CP,Sevilla FC
Habib Diallo,FC Metz,R. Strasbourg
Dudu,Palmeiras,Al-Duhail SC
Santiago Arias,Atlético Madrid,B. Leverkusen
Demarai Gray,Leicester,B. Leverkusen
Gonçalo Paciência,E. Frankfurt,FC Schalke 04
Daniele Rugani,Juventus,Rennes
Rolando Mandragora,Juventus,Torino
Alfred Duncan,Fiorentina,Cagliari Calcio
Diogo Dalot,Man Utd,AC Milan
Shkodran Mustafi,Arsenal,FC Schalke 04
Theo Walcott,Everton,Southampton
Douglas Costa,Juventus,Grêmio
Rolando Mandragora,Juventus,Udinese Calcio
Jean-Clair Todibo,Barcelona,OGC Nice
David Silva,Man City,Real Sociedad
Patrick Cutrone,Wolves,Valencia
Shoya Nakajima,FC Porto,Al-Ain FC
Brian Rodríguez,LAFC,UD Almería
Maxime López,Marseille,Sassuolo
Benjamin Henrichs,Monaco,RB Leipzig
Brenner,São Paulo,Cincinnati
Anthony Knockaert,Brighton,Fulham
Chidera Ejuke,Heerenveen,CSKA Moscow
Jeremie Frimpong,Celtic,B. Leverkusen
Kevin Bonifazi,Torino,SPAL
Jakub Moder,Lech Poznan,Brighton
Jeremie Frimpong,Celtic,B. Leverkusen
Adolfo Gaich,San Lorenzo,CSKA Moscow
Maximilian Philipp,Dynamo Moscow,VfL Wolfsburg
Hannes Wolf,RB Leipzig,Bor. M'gladbach
Emmanuel Dennis,Club Brugge,1. FC Köln
Arturo Vidal,Barcelona,Inter
Tanguy Nianzou,Paris SG,Bayern Munich
Joshua King,Bournemouth,Everton
Félix Correia,Man City U23,Juventus U23
Blaise Matuidi,Juventus,Miami
Mario Götze,Bor. Dortmund,PSV Eindhoven
Pablo Moreno,Juventus U19,Man City U23
Grégoire Defrel,AS Roma,Sassuolo
Baptiste Santamaria,Angers SCO,SC Freiburg
Alfred Gomis,Dijon,Rennes
Ridle Baku,1.FSV Mainz 05,VfL Wolfsburg
Carlos Fernández,Sevilla FC,Real Sociedad
Karol Linetty,Sampdoria,Torino
Irfan Can Kahveci,Basaksehir,Fenerbahce
Mehdi Taremi,Rio Ave FC,FC Porto
Borja Mayoral,Real Madrid,AS Roma
Jesse Lingard,Man Utd,West Ham
Mario Lemina,Southampton,Fulham
Ademola Lookman,RB Leipzig,Fulham
M'Baye Niang,Rennes,Al-Ahli SFC
Marco Benassi,Fiorentina,Hellas Verona
Daniele Rugani,Juventus,Cagliari Calcio
Alessandro Florenzi,AS Roma,Paris SG
Rony Lopes,Sevilla FC,OGC Nice
Davide Zappacosta,Chelsea,Genoa
Eddie Salcedo,Inter,Hellas Verona
Michaël Cuisance,Bayern Munich,Marseille
William,VfL Wolfsburg,FC Schalke 04
Takumi Minamino,Liverpool,Southampton
Ki-Jana Hoever,Liverpool U23,Wolves
Vlad Chiriches,SSC Napoli,Sassuolo
Seko Fofana,Udinese Calcio,Lens
Matheus Pereira,Sporting CP,West Brom
Ibrahim Sangaré,Toulouse,PSV Eindhoven
Aaron Mooy,Brighton,SH Port
Morgan Schneiderlin,Everton,OGC Nice
Shane Duffy,Brighton,Celtic
Rafinha,Barcelona,Paris SG
Alexander Nübel,FC Schalke 04,Bayern Munich
Adam Lallana,Liverpool,Brighton
Pedro,Chelsea,AS Roma
Kenedy,Chelsea,Granada CF
Ally Samatta,Aston Villa,Fenerbahce
Valentin Mihaila,CS U Craiova,Parma
Adrian Grbic,Clermont Foot,FC Lorient
Mohammed Kudus,Nordsjaelland,Ajax
Enes Ünal,Villarreal,Getafe
Eldor Shomurodov,Rostov,Genoa
Umar Sadiq,Partizan,UD Almería
Manu Koné,Toulouse,Bor. M'gladbach
Bouna Sarr,Marseille,Bayern Munich
Tiquinho Soares,FC Porto,TJ Jinmen Tiger
Dalbert,Inter,Rennes
Kenny Lala,R. Strasbourg,Olympiacos
Adolfo Gaich,CSKA Moscow,Benevento
Jeff Hendrick,Burnley,Newcastle
Pedro Porro,Man City,Sporting CP
Ethan Ampadu,Chelsea,Sheff Utd
Sebastiano Esposito,Inter,SPAL
Roberto Pereyra,Watford,Udinese Calcio
Giuliano,Al-Nassr FC,Basaksehir
Bryan Gil,Sevilla FC,SD Eibar
Rúben Vinagre,Wolves,Olympiacos
Rúben Vinagre,Wolves,Famalicão
Sebastiano Esposito,Inter,Venezia
Joshua Zirkzee,Bayern Munich,Parma
Oussama Idrissi,Sevilla FC,Ajax
Evanilson,Tombense,FC Porto
Nikola Moro,Dinamo Zagreb,Dynamo Moscow
Facundo Pellistri,Peñarol,Man Utd
Filip Stevanovic,Partizan,Man City U23
Karim Rekik,Hertha BSC,Sevilla FC
Guus Til,Spartak Moscow,SC Freiburg
Max Kruse,Fenerbahce,Union Berlin
Alberto Grassi,SSC Napoli,Parma
Yann Karamoh,Inter,Parma
Caio Henrique,Atlético Madrid,Monaco
Luis Henrique,Três Passos,Marseille
Elia Petrelli,Juventus U23,Genoa
Mohamed Fares,SPAL,Lazio
Robson Bambu,Athletico-PR,OGC Nice
Sam Lammers,PSV Eindhoven,Atalanta BC
Abel Ruiz,Barcelona B,SC Braga
Sven Botman,Ajax U21,LOSC Lille
Terem Moffi,KV Kortrijk,FC Lorient
Bruno Fuchs,Internacional,CSKA Moscow
Franco Tongya,Juventus U23,Marseille B
Marley Aké,Marseille,Juventus U23
Alexis Saelemaekers,RSC Anderlecht,AC Milan
Talles Magno,Vasco da Gama,New York City
Sergio Rico,Sevilla FC,Paris SG
Yeferson Soteldo,Santos,Toronto
Juan Fernando Quintero,River Plate,SZ FC
François Kamano,G. Bordeaux,Loko Moscow
Zé Luís,FC Porto,Loko Moscow
Matías Palacios,San Lorenzo,FC Basel
Gerónimo Rulli,Real Sociedad,Villarreal
Pablo,G. Bordeaux,Loko Moscow
Joël Veltman,Ajax,Brighton
Antonin Barak,Udinese Calcio,Hellas Verona
Pol Lirola,Fiorentina,Marseille
Cédric Soares,Southampton,Arsenal
Razvan Marin,Ajax,Cagliari Calcio
Nacer Chadli,Monaco,Basaksehir
Adrien Silva,Leicester,Sampdoria
Jota,Benfica,Real Valladolid
Panagiotis Retsos,B. Leverkusen,Saint-Étienne
Tomás Esteves,FC Porto,Reading
Adam Ounas,SSC Napoli,Cagliari Calcio
Sofiane Boufal,Southampton,Angers SCO
Nathaniel Clyne,Liverpool,Crystal Palace
Sead Kolasinac,Arsenal,FC Schalke 04
Rabbi Matondo,FC Schalke 04,Stoke City
Filip Stevanovic,Man City U23,Partizan
Strahinja Pavlovic,Monaco,Cercle Brugge
Mathew Ryan,Brighton,Arsenal
Jacob Bruun Larsen,TSG Hoffenheim,RSC Anderlecht
Stephan El Shaarawy,SH Shenhua,AS Roma
Adam Ounas,SSC Napoli,Crotone
Souza,Al-Ahli SFC,Besiktas
Matheus Pereira,Juventus U23,Barcelona B
Paul Bernardoni,G. Bordeaux,Angers SCO
Luis Suárez,Watford,Granada CF
Santiago Sosa,River Plate,Atlanta
Kevin Lasagna,Udinese Calcio,Hellas Verona
Tomás Tavares,Benfica,Alavés
Mattia De Sciglio,Juventus,Olympique Lyon
José Callejón,SSC Napoli,Fiorentina
Nehuén Pérez,Atlético Madrid,Granada CF
Gregor Kobel,TSG Hoffenheim,VfB Stuttgart
Leonardo Balerdi,Bor. Dortmund,Marseille
Oliver Skipp,Tottenham,Norwich
Morgan Gibbs-White,Wolves,Swansea
Francesco Cassata,Sassuolo,Genoa
Felix Uduokhai,VfL Wolfsburg,FC Augsburg
Simone Muratore,Juventus,Atalanta BC
Amine Gouiri,Olympique Lyon,OGC Nice
Leonardo Bittencourt,TSG Hoffenheim,Werder Bremen
Jordan Lotomba,BSC Young Boys,OGC Nice
Alexander Schwolow,SC Freiburg,Hertha BSC
Ciro Palmieri,Napoli U19,LOSC Lille B
Ondrej Duda,Hertha BSC,1. FC Köln
Sebastian Andersson,Union Berlin,1. FC Köln
Pedro Gonçalves,Famalicão,Sporting CP
Simon Kjaer,Sevilla FC,AC Milan
Luciano Vietto,Sporting CP,Al-Hilal SFC
Toni Martínez,Famalicão,FC Porto
Mijat Gacinovic,E. Frankfurt,TSG Hoffenheim
Kaan Ayhan,F. Düsseldorf,Sassuolo
Ola Aina,Torino,Fulham
Javi Ontiveros,Villarreal,SD Huesca
Éver Banega,Sevilla FC,Al-Shabab
Alfie Mawson,Fulham,Bristol City
Giacomo Bonaventura,AC Milan,Fiorentina
Fábio Martins,SC Braga,Al-Shabab
Filip Benkovic,Leicester,Cardiff
Andrea Conti,AC Milan,Parma
Danny da Costa,E. Frankfurt,1.FSV Mainz 05
Kévin Malcuit,SSC Napoli,Fiorentina
Facundo Pellistri,Man Utd,Alavés
Ferro,Benfica,Valencia
Cenk Tosun,Everton,Besiktas
Jonjoe Kenny,Everton,Celtic
Bruno Viana,SC Braga,Flamengo
Taison,Shakhtar D.,Internacional
Maxime Busi,RSC Charleroi,Parma
Dominik Kohr,E. Frankfurt,1.FSV Mainz 05
Mikkel Damsgaard,Nordsjaelland,Sampdoria
Nahuel Bustos,CA Talleres,Man City
Javi Montero,Atlético Madrid,Besiktas
Cucho Hernández,Watford,Getafe
Moussa Wagué,Barcelona,PAOK Salonika
Nahuel Bustos,Man City,Girona
Illan Meslier,FC Lorient,Leeds
Harrison Reed,Southampton,Fulham
Oliver Burke,West Brom,Sheff Utd
Lucas Veríssimo,Santos,Benfica
Antonio Sanabria,Real Betis,Torino
Lucas Robertone,Vélez Sarsfield,UD Almería
Moses Simon,Levante,FC Nantes
Steve Mounié,Huddersfield,Stade Brestois
Terence Kongolo,Huddersfield,Fulham
Álvaro González,Villarreal,Marseille
Gianluca Caprari,Sampdoria,Benevento
Wesley Hoedt,Southampton,Lazio
Jony,Lazio,CA Osasuna
Ronaldo Vieira,Sampdoria,Hellas Verona
Uros Spajic,Krasnodar,Feyenoord
Salomón Rondón,DL Pro,CSKA Moscow
Benik Afobe,Stoke City,Trabzonspor
Robin Knoche,VfL Wolfsburg,Union Berlin
Martín Montoya,Brighton,Real Betis
Youssouf Koné,Olympique Lyon,Elche CF
Marius Wolf,Bor. Dortmund,1. FC Köln
Matteo Darmian,Parma,Inter
Ignacio Pussetto,Watford,Udinese Calcio
Bruma,PSV Eindhoven,Olympiacos
Tomás Tavares,Benfica,Farense
Filip Krovinovic,Benfica,Nottm Forest
Josh Maja,G. Bordeaux,Fulham
Danilo Barbosa,OGC Nice,Palmeiras
Hernani,Zenit S-Pb,Parma
Simon Sohm,FC Zürich,Parma
Marcelino Moreno,Lanús,Atlanta
Stephy Mavididi,Juventus U23,Montpellier
Jayden Bogle,Derby,Sheff Utd
Kevin Danso,FC Augsburg,F. Düsseldorf
Jan Hurtado,Boca Juniors,RB Bragantino
Tahith Chong,Man Utd,Werder Bremen
Ritsu Doan,PSV Eindhoven,Arm. Bielefeld
Jean Marcelin,Monaco,Cercle Brugge
Arthur Zagré,Monaco,Dijon
Tahith Chong,Man Utd,Club Brugge
Yan Valery,Southampton,Birmingham
Yan Couto,Coritiba FC,Man City
Pablo Marí,Flamengo,Arsenal
Núrio Fortuna,RSC Charleroi,KAA Gent
Arthur Cabral,Palmeiras,FC Basel
Yan Couto,Coritiba FC,Man City
Vladimir Coufal,Slavia Prague,West Ham
Guilherme,Olympiacos,Al-Sadd SC
Ignatius Ganago,OGC Nice,Lens
Jonas Omlin,FC Basel,Montpellier
Praxedes,Internacional,RB Bragantino
Michael Olunga,Kashiwa Reysol,Al-Duhail SC
Michal Karbownik,Legia Warszawa,Brighton
Nacho Fernández,River Plate,Atlético-MG
Luigi Sepe,SSC Napoli,Parma
Marcel Tisserand,VfL Wolfsburg,Fenerbahce
Shon Weissman,Wolfsberger AC,Real Valladolid
Roger Assalé,BSC Young Boys,Dijon
Niklas Dorsch,1.FC Heidenheim,KAA Gent
Adrien Hunou,Rennes,Minnesota
Dimitrios Giannoulis,PAOK Salonika,Norwich
Henry Onyekuru,Monaco,Galatasaray
Viktor Kovalenko,Shakhtar D.,Atalanta BC
Lucas Olaza,Boca Juniors,Real Valladolid
Iago Falque,Torino,Benevento
Victor Moses,Chelsea,Spartak Moscow
Bryan Reynolds,Dallas,AS Roma
Omar Elabdellaoui,Olympiacos,Galatasaray
László Bénes,Bor. M'gladbach,FC Augsburg
Marcos Rojo,Man Utd,Boca Juniors
Cristiano Piccini,Valencia,Atalanta BC
Jonathan Calleri,Maldonado,CA Osasuna
Yann M'Vila,Saint-Étienne,Olympiacos
Badou Ndiaye,Stoke City,Karagümrük
Michal Karbownik,Brighton,Legia Warszawa
Radja Nainggolan,Inter,Cagliari Calcio
Manu Sánchez,Atlético Madrid,CA Osasuna
Conor Hourihane,Aston Villa,Swansea
László Bénes,Bor. M'gladbach,FC Augsburg
Marcos Rojo,Man Utd,Boca Juniors
Jean-Kévin Augustin,Leeds,FC Nantes
Giuseppe Pezzella,Udinese Calcio,Parma
Ivan Toney,Peterborough,Brentford
Albian Ajeti,West Ham,Celtic
Harry Arter,Bournemouth,Nottm Forest
Waldemar Anton,Hannover 96,VfB Stuttgart
Christophe Hérelle,OGC Nice,Stade Brestois
Bas Dost,E. Frankfurt,Club Brugge
Jordan Hugill,West Ham,Norwich
Kenny Tete,Olympique Lyon,Fulham
Nikola Kalinic,Atlético Madrid,Hellas Verona
Jeroen Zoet,PSV Eindhoven,Spezia Calcio
Pape Cheikh,Olympique Lyon,Dijon
Emre Kilinc,Sivasspor,Galatasaray
Rafael,Olympique Lyon,Basaksehir
Callum Robinson,Sheff Utd,West Brom
Yoshinori Muto,Newcastle,SD Eibar
Rachid Ghezzal,Leicester,Besiktas
Ibrahim Amadou,Sevilla FC,Angers SCO
Roque Mesa,Sevilla FC,Real Valladolid
Alexandru Mitrita,New York City,Al-Ahli SFC
Danny Welbeck,Watford,Brighton
Andraz Sporar,Sporting CP,SC Braga
Frank Acheampong,TJ Jinmen Tiger,SZ FC
Mark McKenzie,Philadelphia,KRC Genk
Kévin Cabral,Valenciennes FC,Los Angeles
Lincoln,Flamengo,Vissel Kobe
Kevin Rüegg,FC Zürich,Hellas Verona
Adil Aouchiche,Paris SG,Saint-Étienne
Conor Gallagher,Chelsea U23,West Brom
Jack Clarke,Tottenham,Stoke City
Tomás Pochettino,CA Talleres,Austin
Mërgim Vojvoda,Standard Liège,Torino
Ricardo Goulart,GuaZ FC,HB FC
Iván Marcone,Boca Juniors,Elche CF
Eran Zahavi,GZ City,PSV Eindhoven
Orestis Karnezis,SSC Napoli,LOSC Lille
Franck Honorat,Saint-Étienne,Stade Brestois
Vasilios Barkas,AEK Athens,Celtic
Luis Milla,CD Tenerife,Granada CF
Kemar Roofe,RSC Anderlecht,Rangers
Bartosz Bialek,Zaglebie Lubin,VfL Wolfsburg
Maxence Lacroix,FC Sochaux,VfL Wolfsburg
Ramadan Sobhi,Huddersfield,Pyramids FC
Loïc Mbe Soh,Paris SG B,Nottm Forest
Raúl Guti,Real Zaragoza,Elche CF
Bruno Tabata,Portimonense,Sporting CP
Mattia Bani,Bologna,Genoa
Moisés Caicedo,Independiente,Brighton
Carlos González,UNAM Pumas,Tigres UANL
Emanuel Reynoso,Boca Juniors,Minnesota
Gianluca Lapadula,Genoa,Benevento
Anastasios Bakasetas,Alanyaspor,Trabzonspor
Aleksandar Kolarov,AS Roma,Inter
Federico Bonazzoli,Sampdoria,Torino
Filippo Falco,Lecce,Red Star
Amer Gojak,Dinamo Zagreb,Torino
Amin Younes,SSC Napoli,E. Frankfurt
Pape Abou Cissé,Olympiacos,Saint-Étienne
Soualiho Meïté,Torino,AC Milan
Chris Richards,Bayern Munich,TSG Hoffenheim
Vitinha,FC Porto,Wolves
Davide Frattesi,Sassuolo,Monza
Nicola Murru,Sampdoria,Torino
Marko Pjaca,Juventus,Genoa
Diego Godín,Inter,Cagliari Calcio
Antonio Candreva,Inter,Sampdoria
Vincent Aboubakar,FC Porto,Besiktas
Gianluca Scamacca,Sassuolo,Genoa
Álex Centelles,Valencia,UD Almería
Djaniny,Al-Ahli SFC,Trabzonspor
Diego Laxalt,AC Milan,Celtic
Robin Olsen,AS Roma,Everton
Adrian Fein,Bayern Munich,PSV Eindhoven
Anthony Knockaert,Fulham,Nottm Forest
Filip Benkovic,Leicester,OH Leuven
Islam Slimani,Leicester,Olympique Lyon
Kevin Strootman,Marseille,Genoa
Manu Koné,Bor. M'gladbach,Toulouse
Jordan Morris,Seattle,Swansea
Stefano Sturaro,Genoa,Hellas Verona
Mesut Özil,Arsenal,Fenerbahce
Jean Michaël Seri,Fulham,G. Bordeaux
Frédéric Guilbert,Aston Villa,R. Strasbourg
Simon Deli,Club Brugge,Slavia Prague
DeAndre Yedlin,Newcastle,Galatasaray
Anthony Gordon,Everton,Preston
Cristian Ferreira,River Plate,CA Colon
Rúben Vinagre,Wolves,Sporting CP
Jasmin Kurtic,SPAL,Parma
Jens Petter Hauge,Bodø/Glimt,AC Milan
Timothée Kolodziejczak,Tigres UANL,Saint-Étienne
Hassane Kamara,Stade Reims,OGC Nice
Vitor Hugo,Palmeiras,Trabzonspor
Pione Sisto,Celta de Vigo,FC Midtjylland
Maicon,Galatasaray,Al-Nassr FC
Craig Dawson,Watford,West Ham
Dale Stephens,Brighton,Burnley
Dimitrios Siovas,CD Leganés,SD Huesca
Jordon Ibe,Bournemouth,Derby
Bernardo,Brighton,RB Salzburg
Thiago Silva,Paris SG,Chelsea
Santiago Cáseres,Villarreal,Vélez Sarsfield
Jérémy Gélin,Rennes,Royal Antwerp
Florian Lejeune,Newcastle,Alavés
Guido Carrillo,Southampton,Elche CF
Lisandro Magallán,Ajax,Crotone
Carlos Eduardo,Al-Hilal SFC,Shabab Al-Ahli
Alex Vigo,CA Colon,River Plate
Jun-ho Son,Jeonbuk Hyundai,SD Taishan
Aleksandr Sobolev,KS Samara,Spartak Moscow
Issa Kaboré,KV Mechelen,Man City
Kévin N'Doram,Monaco,FC Metz
Oumar Solet,Olympique Lyon,RB Salzburg
Aleksandr Kokorin,Spartak Moscow,Fiorentina
Oumar Solet,Olympique Lyon,RB Salzburg
Issa Kaboré,KV Mechelen,Man City
Gustavo Maia,São Paulo,Barcelona B
Mirko Maric,NK Osijek,Monza
Albian Hajdari,FC Basel U18,Juventus U19
Jailson,Fenerbahce,DL Pro
Víctor Dávila,Pachuca,León
Aleksandr Kokorin,Spartak Moscow,Fiorentina
Filippo Romagna,Cagliari Calcio,Sassuolo
Adrien Tamèze,OGC Nice,Hellas Verona
Ianis Hagi,KRC Genk,Rangers
Facundo Medina,CA Talleres,Lens
Pedro Aquino,León,América
Steven Zuber,TSG Hoffenheim,E. Frankfurt
Koray Günter,Genoa,Hellas Verona
Ben Gibson,Burnley,Norwich
Fabio Depaoli,Sampdoria,Atalanta BC
Ernesto Torregrossa,Brescia,Sampdoria
Nemanja Radonjić,Marseille,Hertha BSC
Emiliano Rigoni,Zenit S-Pb,Elche CF
Junya Ito,Kashiwa Reysol,KRC Genk
Wuilker Fariñez,Millonarios,Lens
Rodrigo Battaglia,Sporting CP,Alavés
Carel Eiting,Ajax,Huddersfield
